motor,pwm,pos,duration,n_points,first,last,sum,actual_n_points,actual_first,actual_last,actual_sum,n_points_match,first_abs_error,last_abs_error,sum_abs_error,max_abs_error,regression_pass,monotonic
1,64,0,0.2,1,3925.33333333333,3925.33333333333,3925.33333333333,1,3925.33333333333,3925.33333333333,3925.33333333333,1,0,0,0,0,1,1
1,64,0,3,21,2762,14316,258575.666666667,21,2762,14316,258575.666666667,1,0,0,0,0,1,1
1,64,2836,0.2,1,6395,6395,6395,1,6395,6395,6395,1,0,0,0,0,1,1
1,64,2836,3,21,5523.33333333333,14316,270450,21,5523.33333333333,14316,270450,1,0,0,0,0,1,1
1,64,5672,0.2,1,8391.33333333333,8391.33333333333,8391.33333333333,1,8391.33333333333,8391.33333333333,8391.33333333333,1,0,0,0,0,1,1
1,64,5672,3,21,7689,14316,279806.666666667,21,7689,14316,279806.666666667,1,0,0,5.82076609134674e-11,5.82076609134674e-11,1,1
1,64,8508,0.2,1,10471.3333333333,10471.3333333333,10471.3333333333,1,10471.3333333333,10471.3333333333,10471.3333333333,1,0,0,0,0,1,1
1,64,8508,3,21,9924.66666666667,14316,288873.666666667,21,9924.66666666667,14316,288873.666666667,1,0,0,0,0,1,1
1,64,11344,0.2,1,12599.6666666667,12599.6666666667,12599.6666666667,1,12599.6666666667,12599.6666666667,12599.6666666667,1,0,0,0,0,1,1
1,64,11344,3,21,12299.6666666667,14316,296381.666666667,21,12299.6666666667,14316,296381.666666667,1,0,0,0,0,1,1
1,64,14180,0.2,1,14316,14316,14316,1,14316,14316,14316,1,0,0,0,0,1,1
1,64,14180,3,21,14316,14316,300636,21,14316,14316,300636,1,0,0,0,0,1,1
1,64,17016,0.2,1,17016,17016,17016,1,17016,17016,17016,1,0,0,0,0,1,1
1,64,17016,3,21,17016,17016,357336,21,17016,17016,357336,1,0,0,0,0,1,1
1,-64,-194,0.2,1,-194,-194,-194,1,-194,-194,-194,1,0,0,0,0,1,1
1,-64,-194,3,21,-194,-194,-4074,21,-194,-194,-4074,1,0,0,0,0,1,1
1,-64,2674.33333333333,0.2,1,215.666666666667,215.666666666667,215.666666666667,1,215.666666666667,215.666666666667,215.666666666667,1,0,0,0,0,1,1
1,-64,2674.33333333333,3,21,678.333333333333,-145.333333333333,-2228.33333333333,21,678.333333333333,-145.333333333333,-2228.33333333333,1,0,0,0,0,1,1
1,-64,5542.66666666667,0.2,1,1251,1251,1251,1,1251,1251,1251,1,0,0,0,0,1,1
1,-64,5542.66666666667,3,21,2200.33333333333,-145.333333333333,-76.3333333333335,21,2200.33333333333,-145.333333333333,-76.3333333333336,1,0,0,1.13686837721616e-13,1.13686837721616e-13,1,1
1,-64,8411,0.2,1,3634.66666666667,3634.66666666667,3634.66666666667,1,3634.66666666667,3634.66666666667,3634.66666666667,1,0,0,0,0,1,1
1,-64,8411,3,21,5005.66666666667,-145.333333333333,4520,21,5005.66666666667,-145.333333333333,4520.00000000001,1,0,0,3.63797880709171e-12,3.63797880709171e-12,1,1
1,-64,11279.3333333333,0.2,1,6664,6664,6664,1,6664,6664,6664,1,0,0,0,0,1,1
1,-64,11279.3333333333,3,21,8004.66666666667,-145.333333333333,11840.3333333333,21,8004.66666666667,-145.333333333333,11840.3333333333,1,0,0,5.45696821063757e-12,5.45696821063757e-12,1,1
1,-64,14147.6666666667,0.2,1,9733.66666666667,9733.66666666667,9733.66666666667,1,9733.66666666667,9733.66666666667,9733.66666666667,1,0,0,0,0,1,1
1,-64,14147.6666666667,3,21,11027,-145.333333333333,22232.6666666667,21,11027,-145.333333333333,22232.6666666667,1,0,0,1.09139364212751e-11,1.09139364212751e-11,1,1
1,-64,17016,0.2,1,10362,10362,10362,1,10362,10362,10362,1,0,0,0,0,1,1
1,-64,17016,3,21,11635,-145.333333333333,24796,21,11635,-145.333333333333,24796,1,0,0,1.81898940354586e-11,1.81898940354586e-11,1,1
1,96,0,0.2,1,6279.75,6279.75,6279.75,1,6279.75,6279.75,6279.75,1,0,0,0,0,1,1
1,96,0,3,21,4536.5,16961.75,328314.5,21,4536.5,16961.75,328314.5,1,0,0,0,0,1,1
1,96,2841,0.2,1,8820.25,8820.25,8820.25,1,8820.25,8820.25,8820.25,1,0,0,0,0,1,1
1,96,2841,3,21,7280.75,16961.75,336956.75,21,7280.75,16961.75,336956.75,1,0,0,0,0,1,1
1,96,5682,0.2,1,10989,10989,10989,1,10989,10989,10989,1,0,0,0,0,1,1
1,96,5682,3,21,9584.5,16961.75,343332,21,9584.5,16961.75,343332,1,0,0,0,0,1,1
1,96,8523,0.2,1,13361.25,13361.25,13361.25,1,13361.25,13361.25,13361.25,1,0,0,0,0,1,1
1,96,8523,3,21,12052.75,16961.75,348885.75,21,12052.75,16961.75,348885.75,1,0,0,0,0,1,1
1,96,11364,0.2,1,15549.5,15549.5,15549.5,1,15549.5,15549.5,15549.5,1,0,0,0,0,1,1
1,96,11364,3,21,14511.5,16961.75,353081.25,21,14511.5,16961.75,353081.25,1,0,0,0,0,1,1
1,96,14205,0.2,1,16668.25,16668.25,16668.25,1,16668.25,16668.25,16668.25,1,0,0,0,0,1,1
1,96,14205,3,21,16447.5,16961.75,355417.25,21,16447.5,16961.75,355417.25,1,0,0,0,0,1,1
1,96,17046,0.2,1,17046,17046,17046,1,17046,17046,17046,1,0,0,0,0,1,1
1,96,17046,3,21,17046,17046,357966,21,17046,17046,357966,1,0,0,0,0,1,1
1,-96,-368,0.2,1,-368,-368,-368,1,-368,-368,-368,1,0,0,0,0,1,1
1,-96,-368,3,21,-368,-368,-7728,21,-368,-368,-7728,1,0,0,0,0,1,1
1,-96,2534.33333333333,0.2,1,-320,-320,-320,1,-320,-320,-320,1,0,0,0,0,1,1
1,-96,2534.33333333333,3,21,-320,-320,-6720,21,-320,-320,-6720,1,0,0,0,0,1,1
1,-96,5436.66666666667,0.2,1,-320,-320,-320,1,-320,-320,-320,1,0,0,0,0,1,1
1,-96,5436.66666666667,3,21,27,-320,-6373,21,27,-320,-6373,1,0,0,0,0,1,1
1,-96,8339,0.2,1,395.5,395.5,395.5,1,395.5,395.5,395.5,1,0,0,0,0,1,1
1,-96,8339,3,21,2615.75,-320,-3784.25,21,2615.75,-320,-3784.25,1,0,0,0,0,1,1
1,-96,11241.3333333333,0.2,1,3491,3491,3491,1,3491,3491,3491,1,0,0,0,0,1,1
1,-96,11241.3333333333,3,21,5750.5,-320,-124.25,21,5750.5,-320,-124.25,1,0,0,0,0,1,1
1,-96,14143.6666666667,0.2,1,6660.75,6660.75,6660.75,1,6660.75,6660.75,6660.75,1,0,0,0,0,1,1
1,-96,14143.6666666667,3,21,8860.25,-320,6033.25,21,8860.25,-320,6033.25,1,0,0,0,0,1,1
1,-96,17046,0.2,1,9800.75,9800.75,9800.75,1,9800.75,9800.75,9800.75,1,0,0,0,0,1,1
1,-96,17046,3,21,11921,-320,13492,21,11921,-320,13492,1,0,0,0,0,1,1
1,128,0,0.2,1,7999.5,7999.5,7999.5,1,7999.5,7999.5,7999.5,1,0,0,0,0,1,1
1,128,0,3,21,5684.33333333333,17101,340877.833333333,21,5684.33333333333,17101,340877.833333333,1,0,0,0,0,1,1
1,128,2862,0.2,1,10977.6666666667,10977.6666666667,10977.6666666667,1,10977.6666666667,10977.6666666667,10977.6666666667,1,0,0,0,0,1,1
1,128,2862,3,21,8752,17101,347740,21,8752,17101,347740,1,0,0,0,0,1,1
1,128,5724,0.2,1,13445.3333333333,13445.3333333333,13445.3333333333,1,13445.3333333333,13445.3333333333,13445.3333333333,1,0,0,0,0,1,1
1,128,5724,3,21,11393.3333333333,17101,352357,21,11393.3333333333,17101,352357,1,0,0,0,0,1,1
1,128,8586,0.2,1,15688.5,15688.5,15688.5,1,15688.5,15688.5,15688.5,1,0,0,0,0,1,1
1,128,8586,3,21,13965.8333333333,17101,355974.5,21,13965.8333333333,17101,355974.5,1,0,0,0,0,1,1
1,128,11448,0.2,1,16987,16987,16987,1,16987,16987,16987,1,0,0,0,0,1,1
1,128,11448,3,21,16095,17101,358115,21,16095,17101,358115,1,0,0,0,0,1,1
1,128,14310,0.2,1,17101,17101,17101,1,17101,17101,17101,1,0,0,0,0,1,1
1,128,14310,3,21,17101,17101,359121,21,17101,17101,359121,1,0,0,0,0,1,1
1,128,17172,0.2,1,17172,17172,17172,1,17172,17172,17172,1,0,0,0,0,1,1
1,128,17172,3,21,17172,17172,360612,21,17172,17172,360612,1,0,0,0,0,1,1
1,-128,-557,0.2,1,-557,-557,-557,1,-557,-557,-557,1,0,0,0,0,1,1
1,-128,-557,3,21,-557,-557,-11697,21,-557,-557,-11697,1,0,0,0,0,1,1
1,-128,2397.83333333333,0.2,1,-493,-493,-493,1,-493,-493,-493,1,0,0,0,0,1,1
1,-128,2397.83333333333,3,21,-493,-493,-10353,21,-493,-493,-10353,1,0,0,0,0,1,1
1,-128,5352.66666666667,0.2,1,-493,-493,-493,1,-493,-493,-493,1,0,0,0,0,1,1
1,-128,5352.66666666667,3,21,-412.5,-493,-10272.5,21,-412.5,-493,-10272.5,1,0,0,0,0,1,1
1,-128,8307.5,0.2,1,-361.666666666667,-361.666666666667,-361.666666666667,1,-361.666666666667,-361.666666666667,-361.666666666667,1,0,0,0,0,1,1
1,-128,8307.5,3,21,1355.33333333333,-493,-8504.66666666667,21,1355.33333333333,-493,-8504.66666666667,1,0,0,0,0,1,1
1,-128,11262.3333333333,0.2,1,1649.66666666667,1649.66666666667,1649.66666666667,1,1649.66666666667,1649.66666666667,1649.66666666667,1,0,0,0,0,1,1
1,-128,11262.3333333333,3,21,4457.16666666667,-493,-5401.16666666667,21,4457.16666666667,-493,-5401.16666666667,1,0,0,0,0,1,1
1,-128,14217.1666666667,0.2,1,4830.16666666667,4830.16666666667,4830.16666666667,1,4830.16666666667,4830.16666666667,4830.16666666667,1,0,0,0,0,1,1
1,-128,14217.1666666667,3,21,7591.66666666667,-493,-1113.83333333333,21,7591.66666666667,-493,-1113.83333333333,1,0,0,9.09494701772928e-13,9.09494701772928e-13,1,1
1,-128,17172,0.2,1,8448.83333333333,8448.83333333333,8448.83333333333,1,8448.83333333333,8448.83333333333,8448.83333333333,1,0,0,0,0,1,1
1,-128,17172,3,21,11086,-493,6013.16666666667,21,11086,-493,6013.16666666667,1,0,0,0,0,1,1
1,160,0,0.2,1,9023.8,9023.8,9023.8,1,9023.8,9023.8,9023.8,1,0,0,0,0,1,1
1,160,0,3,21,6459.4,17116.6,344238,21,6459.4,17116.6,344238,1,0,0,5.82076609134674e-11,5.82076609134674e-11,1,1
1,160,2866.83333333333,0.2,1,11959.4,11959.4,11959.4,1,11959.4,11959.4,11959.4,1,0,0,0,0,1,1
1,160,2866.83333333333,3,21,9473.2,17116.6,350069.6,21,9473.2,17116.6,350069.6,1,0,0,5.82076609134674e-11,5.82076609134674e-11,1,1
1,160,5733.66666666667,0.2,1,14425.2,14425.2,14425.2,1,14425.2,14425.2,14425.2,1,0,0,0,0,1,1
1,160,5733.66666666667,3,21,12124.8,17116.6,354203.8,21,12124.8,17116.6,354203.8,1,0,0,5.82076609134674e-11,5.82076609134674e-11,1,1
1,160,8600.5,0.2,1,16496,16496,16496,1,16496,16496,16496,1,0,0,0,0,1,1
1,160,8600.5,3,21,14663.8,17116.6,356995.8,21,14663.8,17116.6,356995.8,1,0,0,5.82076609134674e-11,5.82076609134674e-11,1,1
1,160,11467.3333333333,0.2,1,17059,17059,17059,1,17059,17059,17059,1,0,0,0,0,1,1
1,160,11467.3333333333,3,21,16645.4,17116.6,358977.4,21,16645.4,17116.6,358977.4,1,0,0,5.82076609134674e-11,5.82076609134674e-11,1,1
1,160,14334.1666666667,0.2,1,17116.6,17116.6,17116.6,1,17116.6,17116.6,17116.6,1,0,0,0,0,1,1
1,160,14334.1666666667,3,21,17113.2,17116.6,359445.2,21,17113.2,17116.6,359445.2,1,0,0,1.16415321826935e-10,1.16415321826935e-10,1,1
1,160,17201,0.2,1,17201,17201,17201,1,17201,17201,17201,1,0,0,0,0,1,1
1,160,17201,3,21,17201,17201,361221,21,17201,17201,361221,1,0,0,0,0,1,1
1,-160,-688,0.2,1,-688,-688,-688,1,-688,-688,-688,1,0,0,0,0,1,1
1,-160,-688,3,21,-688,-688,-14448,21,-688,-688,-14448,1,0,0,0,0,1,1
1,-160,2293.33333333333,0.2,1,-595.8,-595.8,-595.8,1,-595.8,-595.8,-595.8,1,0,0,0,0,1,1
1,-160,2293.33333333333,3,21,-595.8,-595.8,-12511.8,21,-595.8,-595.8,-12511.8,1,0,0,0,0,1,1
1,-160,5274.66666666667,0.2,1,-595.8,-595.8,-595.8,1,-595.8,-595.8,-595.8,1,0,0,0,0,1,1
1,-160,5274.66666666667,3,21,-585.8,-595.8,-12501.8,21,-585.8,-595.8,-12501.8,1,0,0,0,0,1,1
1,-160,8256,0.2,1,-588.4,-588.4,-588.4,1,-588.4,-588.4,-588.4,1,0,0,0,0,1,1
1,-160,8256,3,21,557.4,-595.8,-11358.6,21,557.4,-595.8,-11358.6,1,0,0,1.81898940354586e-12,1.81898940354586e-12,1,1
1,-160,11237.3333333333,0.2,1,557.4,557.4,557.4,1,557.4,557.4,557.4,1,0,0,0,0,1,1
1,-160,11237.3333333333,3,21,3618.4,-595.8,-8297.6,21,3618.4,-595.8,-8297.6,1,0,0,1.81898940354586e-12,1.81898940354586e-12,1,1
1,-160,14218.6666666667,0.2,1,3726,3726,3726,1,3726,3726,3726,1,0,0,0,0,1,1
1,-160,14218.6666666667,3,21,6786.4,-595.8,-4866.8,21,6786.4,-595.8,-4866.8,1,0,0,9.09494701772928e-13,9.09494701772928e-13,1,1
1,-160,17200,0.2,1,7267.2,7267.2,7267.2,1,7267.2,7267.2,7267.2,1,0,0,0,0,1,1
1,-160,17200,3,21,10269.8,-595.8,1566.2,21,10269.8,-595.8,1566.2,1,0,0,4.54747350886464e-12,4.54747350886464e-12,1,1
1,192,0,0.2,1,9863.66666666667,9863.66666666667,9863.66666666667,1,9863.66666666667,9863.66666666667,9863.66666666667,1,0,0,0,0,1,1
1,192,0,3,21,7040.66666666667,17209,348104.333333333,21,7040.66666666667,17209,348104.333333333,1,0,0,0,0,1,1
1,192,2881.33333333333,0.2,1,12923.6666666667,12923.6666666667,12923.6666666667,1,12923.6666666667,12923.6666666667,12923.6666666667,1,0,0,0,0,1,1
1,192,2881.33333333333,3,21,10093,17209,353833.666666667,21,10093,17209,353833.666666667,1,0,0,0,0,1,1
1,192,5762.66666666667,0.2,1,15621,15621,15621,1,15621,15621,15621,1,0,0,0,0,1,1
1,192,5762.66666666667,3,21,12874.3333333333,17209,357054.333333333,21,12874.3333333333,17209,357054.333333333,1,0,0,0,0,1,1
1,192,8644,0.2,1,17169,17169,17169,1,17169,17169,17169,1,0,0,0,0,1,1
1,192,8644,3,21,15667.6666666667,17209,359847.666666667,21,15667.6666666667,17209,359847.666666667,1,0,0,0,0,1,1
1,192,11525.3333333333,0.2,1,17209,17209,17209,1,17209,17209,17209,1,0,0,0,0,1,1
1,192,11525.3333333333,3,21,17180,17209,361360,21,17180,17209,361360,1,0,0,0,0,1,1
1,192,14406.6666666667,0.2,1,17209,17209,17209,1,17209,17209,17209,1,0,0,0,0,1,1
1,192,14406.6666666667,3,21,17209,17209,361389,21,17209,17209,361389,1,0,0,0,0,1,1
1,192,17288,0.2,1,17288,17288,17288,1,17288,17288,17288,1,0,0,0,0,1,1
1,192,17288,3,21,17288,17288,363048,21,17288,17288,363048,1,0,0,0,0,1,1
1,-192,-707,0.2,1,-707,-707,-707,1,-707,-707,-707,1,0,0,0,0,1,1
1,-192,-707,3,21,-707,-707,-14847,21,-707,-707,-14847,1,0,0,0,0,1,1
1,-192,2292.16666666667,0.2,1,-659.25,-659.25,-659.25,1,-659.25,-659.25,-659.25,1,0,0,0,0,1,1
1,-192,2292.16666666667,3,21,-659.25,-659.25,-13844.25,21,-659.25,-659.25,-13844.25,1,0,0,0,0,1,1
1,-192,5291.33333333333,0.2,1,-659.25,-659.25,-659.25,1,-659.25,-659.25,-659.25,1,0,0,0,0,1,1
1,-192,5291.33333333333,3,21,-659.25,-659.25,-13844.25,21,-659.25,-659.25,-13844.25,1,0,0,0,0,1,1
1,-192,8290.5,0.2,1,-659.25,-659.25,-659.25,1,-659.25,-659.25,-659.25,1,0,0,0,0,1,1
1,-192,8290.5,3,21,-142.5,-659.25,-13327.5,21,-142.5,-659.25,-13327.5,1,0,0,0,0,1,1
1,-192,11289.6666666667,0.2,1,-314.5,-314.5,-314.5,1,-314.5,-314.5,-314.5,1,0,0,0,0,1,1
1,-192,11289.6666666667,3,21,2947.25,-659.25,-10237.75,21,2947.25,-659.25,-10237.75,1,0,0,0,0,1,1
1,-192,14288.8333333333,0.2,1,2768.25,2768.25,2768.25,1,2768.25,2768.25,2768.25,1,0,0,0,0,1,1
1,-192,14288.8333333333,3,21,6169.25,-659.25,-7015.75,21,6169.25,-659.25,-7015.75,1,0,0,0,0,1,1
1,-192,17288,0.2,1,6347.75,6347.75,6347.75,1,6347.75,6347.75,6347.75,1,0,0,0,0,1,1
1,-192,17288,3,21,9658.75,-659.25,-1646.75,21,9658.75,-659.25,-1646.75,1,0,0,0,0,1,1
1,224,0,0.2,1,10436.8333333333,10436.8333333333,10436.8333333333,1,10436.8333333333,10436.8333333333,10436.8333333333,1,0,0,0,0,1,1
1,224,0,3,21,7429.66666666667,17213.8333333333,349405,21,7429.66666666667,17213.8333333333,349405,1,0,0,5.82076609134674e-11,5.82076609134674e-11,1,1
1,224,2880.33333333333,0.2,1,13539,13539,13539,1,13539,13539,13539,1,0,0,0,0,1,1
1,224,2880.33333333333,3,21,10551.5,17213.8333333333,354670.833333333,21,10551.5,17213.8333333333,354670.833333333,1,0,0,5.82076609134674e-11,5.82076609134674e-11,1,1
1,224,5760.66666666667,0.2,1,16192.3333333333,16192.3333333333,16192.3333333333,1,16192.3333333333,16192.3333333333,16192.3333333333,1,0,0,0,0,1,1
1,224,5760.66666666667,3,21,13330,17213.8333333333,357606.666666667,21,13330,17213.8333333333,357606.666666667,1,0,0,5.82076609134674e-11,5.82076609134674e-11,1,1
1,224,8641,0.2,1,17210.5,17210.5,17210.5,1,17210.5,17210.5,17210.5,1,0,0,0,0,1,1
1,224,8641,3,21,16094.6666666667,17213.8333333333,360371.333333333,21,16094.6666666667,17213.8333333333,360371.333333333,1,0,0,5.82076609134674e-11,5.82076609134674e-11,1,1
1,224,11521.3333333333,0.2,1,17213.8333333333,17213.8333333333,17213.8333333333,1,17213.8333333333,17213.8333333333,17213.8333333333,1,0,0,0,0,1,1
1,224,11521.3333333333,3,21,17198,17213.8333333333,361474.666666667,21,17198,17213.8333333333,361474.666666667,1,0,0,5.82076609134674e-11,5.82076609134674e-11,1,1
1,224,14401.6666666667,0.2,1,17213.8333333333,17213.8333333333,17213.8333333333,1,17213.8333333333,17213.8333333333,17213.8333333333,1,0,0,0,0,1,1
1,224,14401.6666666667,3,21,17213.8333333333,17213.8333333333,361490.5,21,17213.8333333333,17213.8333333333,361490.5,1,0,0,5.82076609134674e-11,5.82076609134674e-11,1,1
1,224,17282,0.2,1,17282,17282,17282,1,17282,17282,17282,1,0,0,0,0,1,1
1,224,17282,3,21,17282,17282,362922,21,17282,17282,362922,1,0,0,0,0,1,1
1,-224,-788,0.2,1,-788,-788,-788,1,-788,-788,-788,1,0,0,0,0,1,1
1,-224,-788,3,21,-788,-788,-16548,21,-788,-788,-16548,1,0,0,0,0,1,1
1,-224,2223.5,0.2,1,-706.333333333333,-706.333333333333,-706.333333333333,1,-706.333333333333,-706.333333333333,-706.333333333333,1,0,0,0,0,1,1
1,-224,2223.5,3,21,-706.333333333333,-706.333333333333,-14833,21,-706.333333333333,-706.333333333333,-14833,1,0,0,0,0,1,1
1,-224,5235,0.2,1,-706.333333333333,-706.333333333333,-706.333333333333,1,-706.333333333333,-706.333333333333,-706.333333333333,1,0,0,0,0,1,1
1,-224,5235,3,21,-706.333333333333,-706.333333333333,-14833,21,-706.333333333333,-706.333333333333,-14833,1,0,0,0,0,1,1
