case_id,grid,motor,pwm,q_initial,duration,sample_index,time_s,position
1,oracle,1,64,0,0.2,0,0,0
1,oracle,1,64,0,0.2,1,0.2,3925.33333333333
2,oracle,1,64,0,3,0,0,0
2,oracle,1,64,0,3,1,0.142857142857143,2762
2,oracle,1,64,0,3,2,0.285714285714286,5457.66666666667
2,oracle,1,64,0,3,3,0.428571428571429,7511.33333333333
2,oracle,1,64,0,3,4,0.571428571428571,9178.33333333333
2,oracle,1,64,0,3,5,0.714285714285714,10490.6666666667
2,oracle,1,64,0,3,6,0.857142857142857,11782
2,oracle,1,64,0,3,7,1,12575
2,oracle,1,64,0,3,8,1.14285714285714,13390.6666666667
2,oracle,1,64,0,3,9,1.28571428571429,13765
2,oracle,1,64,0,3,10,1.42857142857143,14187
2,oracle,1,64,0,3,11,1.57142857142857,14316
2,oracle,1,64,0,3,12,1.71428571428571,14316
2,oracle,1,64,0,3,13,1.85714285714286,14316
2,oracle,1,64,0,3,14,2,14316
2,oracle,1,64,0,3,15,2.14285714285714,14316
2,oracle,1,64,0,3,16,2.28571428571429,14316
2,oracle,1,64,0,3,17,2.42857142857143,14316
2,oracle,1,64,0,3,18,2.57142857142857,14316
2,oracle,1,64,0,3,19,2.71428571428571,14316
2,oracle,1,64,0,3,20,2.85714285714286,14316
2,oracle,1,64,0,3,21,3,14316
3,oracle,1,64,2836,0.2,0,0,2836
3,oracle,1,64,2836,0.2,1,0.2,6395
4,oracle,1,64,2836,3,0,0,2836
4,oracle,1,64,2836,3,1,0.142857142857143,5523.33333333333
4,oracle,1,64,2836,3,2,0.285714285714286,7563
4,oracle,1,64,2836,3,3,0.428571428571429,9231
4,oracle,1,64,2836,3,4,0.571428571428571,10528.6666666667
4,oracle,1,64,2836,3,5,0.714285714285714,11809.3333333333
4,oracle,1,64,2836,3,6,0.857142857142857,12599.6666666667
4,oracle,1,64,2836,3,7,1,13409.3333333333
4,oracle,1,64,2836,3,8,1.14285714285714,13778.6666666667
4,oracle,1,64,2836,3,9,1.28571428571429,14215
4,oracle,1,64,2836,3,10,1.42857142857143,14316
4,oracle,1,64,2836,3,11,1.57142857142857,14316
4,oracle,1,64,2836,3,12,1.71428571428571,14316
4,oracle,1,64,2836,3,13,1.85714285714286,14316
4,oracle,1,64,2836,3,14,2,14316
4,oracle,1,64,2836,3,15,2.14285714285714,14316
4,oracle,1,64,2836,3,16,2.28571428571429,14316
4,oracle,1,64,2836,3,17,2.42857142857143,14316
4,oracle,1,64,2836,3,18,2.57142857142857,14316
4,oracle,1,64,2836,3,19,2.71428571428571,14316
4,oracle,1,64,2836,3,20,2.85714285714286,14316
4,oracle,1,64,2836,3,21,3,14316
5,oracle,1,64,5672,0.2,0,0,5672
5,oracle,1,64,5672,0.2,1,0.2,8391.33333333333
6,oracle,1,64,5672,3,0,0,5672
6,oracle,1,64,5672,3,1,0.142857142857143,7689
6,oracle,1,64,5672,3,2,0.285714285714286,9328.66666666667
6,oracle,1,64,5672,3,3,0.428571428571429,10637
6,oracle,1,64,5672,3,4,0.571428571428571,11874.3333333333
6,oracle,1,64,5672,3,5,0.714285714285714,12657
6,oracle,1,64,5672,3,6,0.857142857142857,13446.3333333333
6,oracle,1,64,5672,3,7,1,13811.3333333333
6,oracle,1,64,5672,3,8,1.14285714285714,14255
6,oracle,1,64,5672,3,9,1.28571428571429,14316
6,oracle,1,64,5672,3,10,1.42857142857143,14316
6,oracle,1,64,5672,3,11,1.57142857142857,14316
6,oracle,1,64,5672,3,12,1.71428571428571,14316
6,oracle,1,64,5672,3,13,1.85714285714286,14316
6,oracle,1,64,5672,3,14,2,14316
6,oracle,1,64,5672,3,15,2.14285714285714,14316
6,oracle,1,64,5672,3,16,2.28571428571429,14316
6,oracle,1,64,5672,3,17,2.42857142857143,14316
6,oracle,1,64,5672,3,18,2.57142857142857,14316
6,oracle,1,64,5672,3,19,2.71428571428571,14316
6,oracle,1,64,5672,3,20,2.85714285714286,14316
6,oracle,1,64,5672,3,21,3,14316
7,oracle,1,64,8508,0.2,0,0,8508
7,oracle,1,64,8508,0.2,1,0.2,10471.3333333333
8,oracle,1,64,8508,3,0,0,8508
8,oracle,1,64,8508,3,1,0.142857142857143,9924.66666666667
8,oracle,1,64,8508,3,2,0.285714285714286,11290.6666666667
8,oracle,1,64,8508,3,3,0.428571428571429,12271
8,oracle,1,64,8508,3,4,0.571428571428571,13101
8,oracle,1,64,8508,3,5,0.714285714285714,13584.6666666667
8,oracle,1,64,8508,3,6,0.857142857142857,13961.6666666667
8,oracle,1,64,8508,3,7,1,14316
8,oracle,1,64,8508,3,8,1.14285714285714,14316
8,oracle,1,64,8508,3,9,1.28571428571429,14316
8,oracle,1,64,8508,3,10,1.42857142857143,14316
8,oracle,1,64,8508,3,11,1.57142857142857,14316
8,oracle,1,64,8508,3,12,1.71428571428571,14316
8,oracle,1,64,8508,3,13,1.85714285714286,14316
8,oracle,1,64,8508,3,14,2,14316
8,oracle,1,64,8508,3,15,2.14285714285714,14316
8,oracle,1,64,8508,3,16,2.28571428571429,14316
8,oracle,1,64,8508,3,17,2.42857142857143,14316
8,oracle,1,64,8508,3,18,2.57142857142857,14316
8,oracle,1,64,8508,3,19,2.71428571428571,14316
8,oracle,1,64,8508,3,20,2.85714285714286,14316
8,oracle,1,64,8508,3,21,3,14316
9,oracle,1,64,11344,0.2,0,0,11344
9,oracle,1,64,11344,0.2,1,0.2,12599.6666666667
10,oracle,1,64,11344,3,0,0,11344
10,oracle,1,64,11344,3,1,0.142857142857143,12299.6666666667
10,oracle,1,64,11344,3,2,0.285714285714286,13135.6666666667
10,oracle,1,64,11344,3,3,0.428571428571429,13594.6666666667
10,oracle,1,64,11344,3,4,0.571428571428571,13979.6666666667
10,oracle,1,64,11344,3,5,0.714285714285714,14316
10,oracle,1,64,11344,3,6,0.857142857142857,14316
10,oracle,1,64,11344,3,7,1,14316
10,oracle,1,64,11344,3,8,1.14285714285714,14316
10,oracle,1,64,11344,3,9,1.28571428571429,14316
10,oracle,1,64,11344,3,10,1.42857142857143,14316
10,oracle,1,64,11344,3,11,1.57142857142857,14316
10,oracle,1,64,11344,3,12,1.71428571428571,14316
10,oracle,1,64,11344,3,13,1.85714285714286,14316
10,oracle,1,64,11344,3,14,2,14316
10,oracle,1,64,11344,3,15,2.14285714285714,14316
10,oracle,1,64,11344,3,16,2.28571428571429,14316
10,oracle,1,64,11344,3,17,2.42857142857143,14316
