case_id,grid,motor,direction,pwm,initial_index,q_initial,duration,n_points,first,q_final,trajectory_sum,displacement,abs_stroke_fraction,monotonic,n_reverse_steps,minimum_directed_step,out_of_curve_domain,held_initial
1,globalPerMotor,1,closing,64,1,-871,0.2,1,3925.33333333333,3925.33333333333,3925.33333333333,4796.33333333333,0.262870400818444,1,0,4796.33333333333,0,0
2,globalPerMotor,1,closing,64,2,41.3,0.2,1,4023.33333333333,4023.33333333333,4023.33333333333,3982.03333333333,0.218241441046439,1,0,3982.03333333333,0,0
3,globalPerMotor,1,closing,64,3,953.6,0.2,1,4996,4996,4996,4042.4,0.221549928751507,1,0,4042.4,0,0
4,globalPerMotor,1,closing,64,4,1865.9,0.2,1,5715,5715,5715,3849.1,0.210955825934451,1,0,3849.1,0,0
5,globalPerMotor,1,closing,64,5,2778.2,0.2,1,6351.66666666667,6351.66666666667,6351.66666666667,3573.46666666667,0.195849318572107,1,0,3573.46666666667,0,0
6,globalPerMotor,1,closing,64,6,3690.5,0.2,1,6963.66666666667,6963.66666666667,6963.66666666667,3273.16666666667,0.179390916730608,1,0,3273.16666666667,0,0
7,globalPerMotor,1,closing,64,7,4602.8,0.2,1,7613,7613,7613,3010.2,0.164978625452154,1,0,3010.2,0,0
8,globalPerMotor,1,closing,64,8,5515.1,0.2,1,8266,8266,8266,2750.9,0.150767291461142,1,0,2750.9,0,0
9,globalPerMotor,1,closing,64,9,6427.4,0.2,1,8944.33333333333,8944.33333333333,8944.33333333333,2516.93333333333,0.137944389637912,1,0,2516.93333333333,0,0
10,globalPerMotor,1,closing,64,10,7339.7,0.2,1,9600,9600,9600,2260.3,0.123879206401403,1,0,2260.3,0,0
11,globalPerMotor,1,closing,64,11,8252,0.2,1,10250,10250,10250,1998,0.109503452811575,1,0,1998,0,0
12,globalPerMotor,1,closing,64,12,9164.3,0.2,1,11036.3333333333,11036.3333333333,11036.3333333333,1872.03333333333,0.102599656545727,1,0,1872.03333333333,0,0
13,globalPerMotor,1,closing,64,13,10076.6,0.2,1,11880.3333333333,11880.3333333333,11880.3333333333,1803.73333333333,0.0988563703460119,1,0,1803.73333333333,0,0
14,globalPerMotor,1,closing,64,14,10988.9,0.2,1,12388.6666666667,12388.6666666667,12388.6666666667,1399.76666666667,0.0767163579231978,1,0,1399.76666666667,0,0
15,globalPerMotor,1,closing,64,15,11901.2,0.2,1,13062,13062,13062,1160.8,0.0636194234352735,1,0,1160.8,0,0
16,globalPerMotor,1,closing,64,16,12813.5,0.2,1,13604.6666666667,13604.6666666667,13604.6666666667,791.166666666666,0.0433611019766889,1,0,791.166666666666,0,0
17,globalPerMotor,1,closing,64,17,13725.8,0.2,1,14316,14316,14316,590.200000000001,0.0323468157404363,1,0,590.200000000001,0,0
18,globalPerMotor,1,closing,64,18,14638.1,0.2,1,14638.1,14638.1,14638.1,0,0,1,0,0,1,1
19,globalPerMotor,1,closing,64,19,15550.4,0.2,1,15550.4,15550.4,15550.4,0,0,1,0,0,1,1
20,globalPerMotor,1,closing,64,20,16462.7,0.2,1,16462.7,16462.7,16462.7,0,0,1,0,0,1,1
21,globalPerMotor,1,closing,64,21,17375,0.2,1,17375,17375,17375,0,0,1,0,0,1,1
43,globalPerMotor,1,closing,96,1,-871,0.2,1,6279.75,6279.75,6279.75,7150.75,0.391907815411597,1,0,7150.75,0,0
44,globalPerMotor,1,closing,96,2,41.3,0.2,1,6479.5,6479.5,6479.5,6438.2,0.352855420366108,1,0,6438.2,0,0
45,globalPerMotor,1,closing,96,3,953.6,0.2,1,7361.75,7361.75,7361.75,6408.15,0.351208484051299,1,0,6408.15,0,0
46,globalPerMotor,1,closing,96,4,1865.9,0.2,1,8073.75,8073.75,8073.75,6207.85,0.340230735503672,1,0,6207.85,0,0
47,globalPerMotor,1,closing,96,5,2778.2,0.2,1,8794.5,8794.5,8794.5,6016.3,0.329732544119259,1,0,6016.3,0,0
48,globalPerMotor,1,closing,96,6,3690.5,0.2,1,9459.5,9459.5,9459.5,5769,0.316178888523512,1,0,5769,0,0
49,globalPerMotor,1,closing,96,7,4602.8,0.2,1,10151.5,10151.5,10151.5,5548.7,0.304105009317111,1,0,5548.7,0,0
50,globalPerMotor,1,closing,96,8,5515.1,0.2,1,10870.75,10870.75,10870.75,5355.65,0.293524608133289,1,0,5355.65,0,0
51,globalPerMotor,1,closing,96,9,6427.4,0.2,1,11619,11619,11619,5191.6,0.284533596404691,1,0,5191.6,0,0
52,globalPerMotor,1,closing,96,10,7339.7,0.2,1,12393.25,12393.25,12393.25,5053.55,0.2769675545325,1,0,5053.55,0,0
53,globalPerMotor,1,closing,96,11,8252,0.2,1,13136.25,13136.25,13136.25,4884.25,0.267688808505974,1,0,4884.25,0,0
54,globalPerMotor,1,closing,96,12,9164.3,0.2,1,13899.25,13899.25,13899.25,4734.95,0.259506193138222,1,0,4734.95,0,0
55,globalPerMotor,1,closing,96,13,10076.6,0.2,1,14604.5,14604.5,14604.5,4527.9,0.248158500493259,1,0,4527.9,0,0
56,globalPerMotor,1,closing,96,14,10988.9,0.2,1,15279,15279,15279,4290.1,0.23512550696043,1,0,4290.1,0,0
57,globalPerMotor,1,closing,96,15,11901.2,0.2,1,15948.5,15948.5,15948.5,4047.3,0.221818480762907,1,0,4047.3,0,0
58,globalPerMotor,1,closing,96,16,12813.5,0.2,1,16405.25,16405.25,16405.25,3591.75,0.19685136468267,1,0,3591.75,0,0
59,globalPerMotor,1,closing,96,17,13725.8,0.2,1,16593.75,16593.75,16593.75,2867.95,0.15718239614162,1,0,2867.95,0,0
60,globalPerMotor,1,closing,96,18,14638.1,0.2,1,16728.75,16728.75,16728.75,2090.65,0.114581278088348,1,0,2090.65,0,0
61,globalPerMotor,1,closing,96,19,15550.4,0.2,1,16739.5,16739.5,16739.5,1189.1,0.0651704483174394,1,0,1189.1,0,0
62,globalPerMotor,1,closing,96,20,16462.7,0.2,1,16836.5,16836.5,16836.5,373.799999999999,0.0204866820124959,1,0,373.799999999999,0,0
63,globalPerMotor,1,closing,96,21,17375,0.2,1,17375,17375,17375,0,0,1,0,0,1,1
85,globalPerMotor,1,closing,128,1,-871,0.2,1,7999.5,7999.5,7999.5,8870.5,0.486161350432972,1,0,8870.5,0,0
86,globalPerMotor,1,closing,128,2,41.3,0.2,1,8215.16666666667,8215.16666666667,8215.16666666667,8173.86666666667,0.447981292703424,1,0,8173.86666666667,0,0
87,globalPerMotor,1,closing,128,3,953.6,0.2,1,9262,9262,9262,8308.4,0.455354598268114,1,0,8308.4,0,0
88,globalPerMotor,1,closing,128,4,1865.9,0.2,1,10125.1666666667,10125.1666666667,10125.1666666667,8259.26666666667,0.452661770616391,1,0,8259.26666666667,0,0
89,globalPerMotor,1,closing,128,5,2778.2,0.2,1,10901,10901,10901,8122.8,0.445182505754686,1,0,8122.8,0,0
90,globalPerMotor,1,closing,128,6,3690.5,0.2,1,11746.1666666667,11746.1666666667,11746.1666666667,8055.66666666667,0.441503160510066,1,0,8055.66666666667,0,0
91,globalPerMotor,1,closing,128,7,4602.8,0.2,1,12490.1666666667,12490.1666666667,12490.1666666667,7887.36666666667,0.432279221016478,1,0,7887.36666666667,0,0
92,globalPerMotor,1,closing,128,8,5515.1,0.2,1,13272.6666666667,13272.6666666667,13272.6666666667,7757.56666666667,0.425165333041032,1,0,7757.56666666667,0,0
93,globalPerMotor,1,closing,128,9,6427.4,0.2,1,14070.3333333333,14070.3333333333,14070.3333333333,7642.93333333333,0.418882677481823,1,0,7642.93333333333,0,0
94,globalPerMotor,1,closing,128,10,7339.7,0.2,1,14815,14815,14815,7475.3,0.409695275676861,1,0,7475.3,0,0
95,globalPerMotor,1,closing,128,11,8252,0.2,1,15473.1666666667,15473.1666666667,15473.1666666667,7221.16666666667,0.395767108772699,1,0,7221.16666666667,0,0
96,globalPerMotor,1,closing,128,12,9164.3,0.2,1,16044.6666666667,16044.6666666667,16044.6666666667,6880.36666666667,0.377089042347181,1,0,6880.36666666667,0,0
97,globalPerMotor,1,closing,128,13,10076.6,0.2,1,16582.5,16582.5,16582.5,6505.9,0.356565822646059,1,0,6505.9,0,0
98,globalPerMotor,1,closing,128,14,10988.9,0.2,1,16889.8333333333,16889.8333333333,16889.8333333333,5900.93333333333,0.323409697102561,1,0,5900.93333333333,0,0
99,globalPerMotor,1,closing,128,15,11901.2,0.2,1,17083,17083,17083,5181.8,0.283996492381892,1,0,5181.8,0,0
100,globalPerMotor,1,closing,128,16,12813.5,0.2,1,17101,17101,17101,4287.5,0.234983009974789,1,0,4287.5,0,0
101,globalPerMotor,1,closing,128,17,13725.8,0.2,1,17101,17101,17101,3375.2,0.184983009974789,1,0,3375.2,0,0
102,globalPerMotor,1,closing,128,18,14638.1,0.2,1,17101,17101,17101,2462.9,0.134983009974789,1,0,2462.9,0,0
103,globalPerMotor,1,closing,128,19,15550.4,0.2,1,17101,17101,17101,1550.6,0.0849830099747889,1,0,1550.6,0,0
104,globalPerMotor,1,closing,128,20,16462.7,0.2,1,17101,17101,17101,638.299999999999,0.034983009974789,1,0,638.299999999999,0,0
105,globalPerMotor,1,closing,128,21,17375,0.2,1,17375,17375,17375,0,0,1,0,0,1,1
127,globalPerMotor,1,closing,160,1,-871,0.2,1,9023.8,9023.8,9023.8,9894.8,0.542299682122109,1,0,9894.8,0,0
128,globalPerMotor,1,closing,160,2,41.3,0.2,1,9249,9249,9249,9207.7,0.50464211333991,1,0,9207.7,0,0
129,globalPerMotor,1,closing,160,3,953.6,0.2,1,10279.2,10279.2,10279.2,9325.6,0.511103803573386,1,0,9325.6,0,0
130,globalPerMotor,1,closing,160,4,1865.9,0.2,1,11113.8,11113.8,11113.8,9247.9,0.506845335964047,1,0,9247.9,0,0
131,globalPerMotor,1,closing,160,5,2778.2,0.2,1,11876.4,11876.4,11876.4,9098.2,0.49864079798312,1,0,9098.2,0,0
132,globalPerMotor,1,closing,160,6,3690.5,0.2,1,12661.8,12661.8,12661.8,8971.3,0.491685848953195,1,0,8971.3,0,0
133,globalPerMotor,1,closing,160,7,4602.8,0.2,1,13433.8,13433.8,13433.8,8831,0.483996492381892,1,0,8831,0,0
134,globalPerMotor,1,closing,160,8,5515.1,0.2,1,14225.2,14225.2,14225.2,8710.1,0.4773703825496,1,0,8710.1,0,0
135,globalPerMotor,1,closing,160,9,6427.4,0.2,1,15011.6,15011.6,15011.6,8584.2,0.470470240052614,1,0,8584.2,0,0
136,globalPerMotor,1,closing,160,10,7339.7,0.2,1,15754.8,15754.8,15754.8,8415.1,0.461202455332676,1,0,8415.1,0,0
137,globalPerMotor,1,closing,160,11,8252,0.2,1,16325.4,16325.4,16325.4,8073.4,0.442475063027513,1,0,8073.4,0,0
138,globalPerMotor,1,closing,160,12,9164.3,0.2,1,16734.6,16734.6,16734.6,7570.3,0.41490189630604,1,0,7570.3,0,0
139,globalPerMotor,1,closing,160,13,10076.6,0.2,1,16912,16912,16912,6835.4,0.37462457524937,1,0,6835.4,0,0
140,globalPerMotor,1,closing,160,14,10988.9,0.2,1,17009.8,17009.8,17009.8,6020.9,0.329984654170777,1,0,6020.9,0,0
141,globalPerMotor,1,closing,160,15,11901.2,0.2,1,17101.6,17101.6,17101.6,5200.4,0.285015893894552,1,0,5200.4,0,0
142,globalPerMotor,1,closing,160,16,12813.5,0.2,1,17116.6,17116.6,17116.6,4303.1,0.235837991888633,1,0,4303.1,0,0
143,globalPerMotor,1,closing,160,17,13725.8,0.2,1,17116.6,17116.6,17116.6,3390.8,0.185837991888633,1,0,3390.8,0,0
144,globalPerMotor,1,closing,160,18,14638.1,0.2,1,17116.6,17116.6,17116.6,2478.5,0.135837991888633,1,0,2478.5,0,0
145,globalPerMotor,1,closing,160,19,15550.4,0.2,1,17116.6,17116.6,17116.6,1566.2,0.085837991888633,1,0,1566.2,0,0
146,globalPerMotor,1,closing,160,20,16462.7,0.2,1,17116.6,17116.6,17116.6,653.899999999998,0.035837991888633,1,0,653.899999999998,0,0
