case_id,grid,motor,direction,pwm,initial_index,q_initial,duration,n_points,first,q_final,trajectory_sum,displacement,abs_stroke_fraction,monotonic,n_reverse_steps,minimum_directed_step,out_of_curve_domain,held_initial
1,perCombination,1,closing,64,1,0,0.2,1,3925.33333333333,3925.33333333333,3925.33333333333,3925.33333333333,0.215133910628814,1,0,3925.33333333333,0,0
2,perCombination,1,closing,64,2,850.8,0.2,1,4926,4926,4926,4075.2,0.223347583031897,1,0,4075.2,0,0
3,perCombination,1,closing,64,3,1701.6,0.2,1,5603.66666666667,5603.66666666667,5603.66666666667,3902.06666666667,0.213858745295773,1,0,3902.06666666667,0,0
4,perCombination,1,closing,64,4,2552.4,0.2,1,6204.33333333333,6204.33333333333,6204.33333333333,3651.93333333333,0.200149804523366,1,0,3651.93333333333,0,0
5,perCombination,1,closing,64,5,3403.2,0.2,1,6772.66666666667,6772.66666666667,6772.66666666667,3369.46666666667,0.184668785852607,1,0,3369.46666666667,0,0
6,perCombination,1,closing,64,6,4254,0.2,1,7367.66666666667,7367.66666666667,7367.66666666667,3113.66666666667,0.170649274726881,1,0,3113.66666666667,0,0
7,perCombination,1,closing,64,7,5104.8,0.2,1,7975.66666666667,7975.66666666667,7975.66666666667,2870.86666666667,0.157342248529358,1,0,2870.86666666667,0,0
8,perCombination,1,closing,64,8,5955.6,0.2,1,8579.33333333333,8579.33333333333,8579.33333333333,2623.73333333333,0.143797727355767,1,0,2623.73333333333,0,0
9,perCombination,1,closing,64,9,6806.4,0.2,1,9241,9241,9241,2434.6,0.133431985092623,1,0,2434.6,0,0
10,perCombination,1,closing,64,10,7657.2,0.2,1,9808.66666666667,9808.66666666667,9808.66666666667,2151.46666666667,0.117914428733238,1,0,2151.46666666667,0,0
11,perCombination,1,closing,64,11,8508,0.2,1,10471.3333333333,10471.3333333333,10471.3333333333,1963.33333333333,0.107603493003033,1,0,1963.33333333333,0,0
12,perCombination,1,closing,64,12,9358.8,0.2,1,11226,11226,11226,1867.2,0.10233475830319,1,0,1867.2,0,0
13,perCombination,1,closing,64,13,10209.6,0.2,1,11961.3333333333,11961.3333333333,11961.3333333333,1751.73333333333,0.0960064306331982,1,0,1751.73333333333,0,0
14,perCombination,1,closing,64,14,11060.4,0.2,1,12431,12431,12431,1370.6,0.0751178340458183,1,0,1370.6,0,0
