case_id,grid,motor,pwm,q_initial,duration,sample_index,time_s,position
1,globalPerMotor,1,64,-871,0.2,0,0,-871
1,globalPerMotor,1,64,-871,0.2,1,0.2,3925.33333333333
2,globalPerMotor,1,64,41.3,0.2,0,0,41.3
2,globalPerMotor,1,64,41.3,0.2,1,0.2,4023.33333333333
3,globalPerMotor,1,64,953.6,0.2,0,0,953.6
3,globalPerMotor,1,64,953.6,0.2,1,0.2,4996
4,globalPerMotor,1,64,1865.9,0.2,0,0,1865.9
4,globalPerMotor,1,64,1865.9,0.2,1,0.2,5715
5,globalPerMotor,1,64,2778.2,0.2,0,0,2778.2
5,globalPerMotor,1,64,2778.2,0.2,1,0.2,6351.66666666667
6,globalPerMotor,1,64,3690.5,0.2,0,0,3690.5
6,globalPerMotor,1,64,3690.5,0.2,1,0.2,6963.66666666667
7,globalPerMotor,1,64,4602.8,0.2,0,0,4602.8
7,globalPerMotor,1,64,4602.8,0.2,1,0.2,7613
8,globalPerMotor,1,64,5515.1,0.2,0,0,5515.1
8,globalPerMotor,1,64,5515.1,0.2,1,0.2,8266
9,globalPerMotor,1,64,6427.4,0.2,0,0,6427.4
9,globalPerMotor,1,64,6427.4,0.2,1,0.2,8944.33333333333
10,globalPerMotor,1,64,7339.7,0.2,0,0,7339.7
10,globalPerMotor,1,64,7339.7,0.2,1,0.2,9600
11,globalPerMotor,1,64,8252,0.2,0,0,8252
11,globalPerMotor,1,64,8252,0.2,1,0.2,10250
12,globalPerMotor,1,64,9164.3,0.2,0,0,9164.3
12,globalPerMotor,1,64,9164.3,0.2,1,0.2,11036.3333333333
13,globalPerMotor,1,64,10076.6,0.2,0,0,10076.6
13,globalPerMotor,1,64,10076.6,0.2,1,0.2,11880.3333333333
14,globalPerMotor,1,64,10988.9,0.2,0,0,10988.9
14,globalPerMotor,1,64,10988.9,0.2,1,0.2,12388.6666666667
15,globalPerMotor,1,64,11901.2,0.2,0,0,11901.2
15,globalPerMotor,1,64,11901.2,0.2,1,0.2,13062
16,globalPerMotor,1,64,12813.5,0.2,0,0,12813.5
16,globalPerMotor,1,64,12813.5,0.2,1,0.2,13604.6666666667
17,globalPerMotor,1,64,13725.8,0.2,0,0,13725.8
17,globalPerMotor,1,64,13725.8,0.2,1,0.2,14316
18,globalPerMotor,1,64,14638.1,0.2,0,0,14638.1
18,globalPerMotor,1,64,14638.1,0.2,1,0.2,14638.1
19,globalPerMotor,1,64,15550.4,0.2,0,0,15550.4
19,globalPerMotor,1,64,15550.4,0.2,1,0.2,15550.4
20,globalPerMotor,1,64,16462.7,0.2,0,0,16462.7
20,globalPerMotor,1,64,16462.7,0.2,1,0.2,16462.7
21,globalPerMotor,1,64,17375,0.2,0,0,17375
21,globalPerMotor,1,64,17375,0.2,1,0.2,17375
43,globalPerMotor,1,96,-871,0.2,0,0,-871
43,globalPerMotor,1,96,-871,0.2,1,0.2,6279.75
44,globalPerMotor,1,96,41.3,0.2,0,0,41.3
44,globalPerMotor,1,96,41.3,0.2,1,0.2,6479.5
45,globalPerMotor,1,96,953.6,0.2,0,0,953.6
45,globalPerMotor,1,96,953.6,0.2,1,0.2,7361.75
46,globalPerMotor,1,96,1865.9,0.2,0,0,1865.9
46,globalPerMotor,1,96,1865.9,0.2,1,0.2,8073.75
47,globalPerMotor,1,96,2778.2,0.2,0,0,2778.2
47,globalPerMotor,1,96,2778.2,0.2,1,0.2,8794.5
48,globalPerMotor,1,96,3690.5,0.2,0,0,3690.5
48,globalPerMotor,1,96,3690.5,0.2,1,0.2,9459.5
49,globalPerMotor,1,96,4602.8,0.2,0,0,4602.8
49,globalPerMotor,1,96,4602.8,0.2,1,0.2,10151.5
50,globalPerMotor,1,96,5515.1,0.2,0,0,5515.1
50,globalPerMotor,1,96,5515.1,0.2,1,0.2,10870.75
51,globalPerMotor,1,96,6427.4,0.2,0,0,6427.4
51,globalPerMotor,1,96,6427.4,0.2,1,0.2,11619
52,globalPerMotor,1,96,7339.7,0.2,0,0,7339.7
52,globalPerMotor,1,96,7339.7,0.2,1,0.2,12393.25
53,globalPerMotor,1,96,8252,0.2,0,0,8252
53,globalPerMotor,1,96,8252,0.2,1,0.2,13136.25
