case_id,grid,motor,pwm,q_initial,duration,sample_index,time_s,position
1,perCombination,1,64,0,0.2,0,0,0
1,perCombination,1,64,0,0.2,1,0.2,3925.33333333333
2,perCombination,1,64,850.8,0.2,0,0,850.8
2,perCombination,1,64,850.8,0.2,1,0.2,4926
3,perCombination,1,64,1701.6,0.2,0,0,1701.6
3,perCombination,1,64,1701.6,0.2,1,0.2,5603.66666666667
4,perCombination,1,64,2552.4,0.2,0,0,2552.4
4,perCombination,1,64,2552.4,0.2,1,0.2,6204.33333333333
5,perCombination,1,64,3403.2,0.2,0,0,3403.2
5,perCombination,1,64,3403.2,0.2,1,0.2,6772.66666666667
6,perCombination,1,64,4254,0.2,0,0,4254
6,perCombination,1,64,4254,0.2,1,0.2,7367.66666666667
7,perCombination,1,64,5104.8,0.2,0,0,5104.8
7,perCombination,1,64,5104.8,0.2,1,0.2,7975.66666666667
8,perCombination,1,64,5955.6,0.2,0,0,5955.6
8,perCombination,1,64,5955.6,0.2,1,0.2,8579.33333333333
9,perCombination,1,64,6806.4,0.2,0,0,6806.4
9,perCombination,1,64,6806.4,0.2,1,0.2,9241
10,perCombination,1,64,7657.2,0.2,0,0,7657.2
10,perCombination,1,64,7657.2,0.2,1,0.2,9808.66666666667
11,perCombination,1,64,8508,0.2,0,0,8508
11,perCombination,1,64,8508,0.2,1,0.2,10471.3333333333
12,perCombination,1,64,9358.8,0.2,0,0,9358.8
12,perCombination,1,64,9358.8,0.2,1,0.2,11226
13,perCombination,1,64,10209.6,0.2,0,0,10209.6
13,perCombination,1,64,10209.6,0.2,1,0.2,11961.3333333333
14,perCombination,1,64,11060.4,0.2,0,0,11060.4
14,perCombination,1,64,11060.4,0.2,1,0.2,12431
15,perCombination,1,64,11911.2,0.2,0,0,11911.2
15,perCombination,1,64,11911.2,0.2,1,0.2,13073.3333333333
16,perCombination,1,64,12762,0.2,0,0,12762
16,perCombination,1,64,12762,0.2,1,0.2,13593.3333333333
17,perCombination,1,64,13612.8,0.2,0,0,13612.8
17,perCombination,1,64,13612.8,0.2,1,0.2,14258.6666666667
18,perCombination,1,64,14463.6,0.2,0,0,14463.6
18,perCombination,1,64,14463.6,0.2,1,0.2,14463.6
19,perCombination,1,64,15314.4,0.2,0,0,15314.4
19,perCombination,1,64,15314.4,0.2,1,0.2,15314.4
20,perCombination,1,64,16165.2,0.2,0,0,16165.2
20,perCombination,1,64,16165.2,0.2,1,0.2,16165.2
21,perCombination,1,64,17016,0.2,0,0,17016
21,perCombination,1,64,17016,0.2,1,0.2,17016
43,perCombination,1,96,0,0.2,0,0,0
43,perCombination,1,96,0,0.2,1,0.2,6279.75
44,perCombination,1,96,852.3,0.2,0,0,852.3
44,perCombination,1,96,852.3,0.2,1,0.2,7280.75
45,perCombination,1,96,1704.6,0.2,0,0,1704.6
45,perCombination,1,96,1704.6,0.2,1,0.2,7966.5
46,perCombination,1,96,2556.9,0.2,0,0,2556.9
46,perCombination,1,96,2556.9,0.2,1,0.2,8610
47,perCombination,1,96,3409.2,0.2,0,0,3409.2
47,perCombination,1,96,3409.2,0.2,1,0.2,9256
48,perCombination,1,96,4261.5,0.2,0,0,4261.5
48,perCombination,1,96,4261.5,0.2,1,0.2,9877.25
49,perCombination,1,96,5113.8,0.2,0,0,5113.8
49,perCombination,1,96,5113.8,0.2,1,0.2,10529.75
50,perCombination,1,96,5966.1,0.2,0,0,5966.1
50,perCombination,1,96,5966.1,0.2,1,0.2,11222.25
51,perCombination,1,96,6818.4,0.2,0,0,6818.4
51,perCombination,1,96,6818.4,0.2,1,0.2,11947.75
52,perCombination,1,96,7670.7,0.2,0,0,7670.7
52,perCombination,1,96,7670.7,0.2,1,0.2,12667.75
53,perCombination,1,96,8523,0.2,0,0,8523
53,perCombination,1,96,8523,0.2,1,0.2,13361.25
54,perCombination,1,96,9375.3,0.2,0,0,9375.3
54,perCombination,1,96,9375.3,0.2,1,0.2,14059
55,perCombination,1,96,10227.6,0.2,0,0,10227.6
55,perCombination,1,96,10227.6,0.2,1,0.2,14719.75
56,perCombination,1,96,11079.9,0.2,0,0,11079.9
56,perCombination,1,96,11079.9,0.2,1,0.2,15347.75
57,perCombination,1,96,11932.2,0.2,0,0,11932.2
57,perCombination,1,96,11932.2,0.2,1,0.2,15966
58,perCombination,1,96,12784.5,0.2,0,0,12784.5
58,perCombination,1,96,12784.5,0.2,1,0.2,16399.5
59,perCombination,1,96,13636.8,0.2,0,0,13636.8
59,perCombination,1,96,13636.8,0.2,1,0.2,16577.75
60,perCombination,1,96,14489.1,0.2,0,0,14489.1
60,perCombination,1,96,14489.1,0.2,1,0.2,16716.5
61,perCombination,1,96,15341.4,0.2,0,0,15341.4
61,perCombination,1,96,15341.4,0.2,1,0.2,16732.25
62,perCombination,1,96,16193.7,0.2,0,0,16193.7
62,perCombination,1,96,16193.7,0.2,1,0.2,16789.5
63,perCombination,1,96,17046,0.2,0,0,17046
63,perCombination,1,96,17046,0.2,1,0.2,17046
85,perCombination,1,128,0,0.2,0,0,0
85,perCombination,1,128,0,0.2,1,0.2,7999.5
86,perCombination,1,128,858.6,0.2,0,0,858.6
86,perCombination,1,128,858.6,0.2,1,0.2,9189.5
87,perCombination,1,128,1717.2,0.2,0,0,1717.2
87,perCombination,1,128,1717.2,0.2,1,0.2,9969.66666666667
88,perCombination,1,128,2575.8,0.2,0,0,2575.8
88,perCombination,1,128,2575.8,0.2,1,0.2,10746.8333333333
89,perCombination,1,128,3434.4,0.2,0,0,3434.4
89,perCombination,1,128,3434.4,0.2,1,0.2,11505.1666666667
90,perCombination,1,128,4293,0.2,0,0,4293
90,perCombination,1,128,4293,0.2,1,0.2,12236.1666666667
91,perCombination,1,128,5151.6,0.2,0,0,5151.6
91,perCombination,1,128,5151.6,0.2,1,0.2,12993.1666666667
92,perCombination,1,128,6010.2,0.2,0,0,6010.2
92,perCombination,1,128,6010.2,0.2,1,0.2,13722.5
