grid,motor,direction,pwm,pwm_magnitude,duration,n_initial,n_unique_endpoints,mean_displacement,min_displacement,max_displacement,mean_abs_stroke_fraction,min_abs_stroke_fraction,max_abs_stroke_fraction,modal_endpoint_percent,q_final_min,q_final_max,motor_global_min,motor_global_max,motor_stroke,grid_initial_min,grid_initial_max
globalPerMotor,1,closing,64,64,0.2,21,21,2079.54920634921,0,4796.33333333333,0.11397288207548,0,0.262870400818444,4.76190476190476,3925.33333333333,17375,-871,17375,18246,-871,17375
globalPerMotor,1,closing,96,96,0.2,21,21,4368.45238095238,0,7150.75,0.239419729307924,0,0.391907815411597,4.76190476190476,6279.75,17375,-871,17375,18246,-871,17375
globalPerMotor,1,closing,128,128,0.2,21,17,5931.34920634921,0,8870.5,0.325076685648866,0,0.486161350432972,23.8095238095238,7999.5,17375,-871,17375,18246,-871,17375
globalPerMotor,1,closing,160,160,0.2,21,17,6494.22857142857,0,9894.8,0.355926152111617,0,0.542299682122109,23.8095238095238,9023.8,17375,-871,17375,18246,-871,17375
globalPerMotor,1,closing,192,192,0.2,21,13,7069.01587301587,0,10734.6666666667,0.387428251288824,0,0.588329862252914,42.8571428571429,9863.66666666667,17375,-871,17375,18246,-871,17375
globalPerMotor,1,closing,224,224,0.2,21,13,7340.34126984127,0,11307.8333333333,0.402298655587048,0,0.619743140048961,42.8571428571429,10436.8333333333,17375,-871,17375,18246,-871,17375
globalPerMotor,1,closing,255,255,0.2,21,12,7653.90476190476,0,12047.6666666667,0.419483983443207,0,0.660290840001461,47.6190476190476,11176.6666666667,17375,-871,17375,18246,-871,17375
globalPerMotor,1,opening,-64,64,0.2,21,17,-3879.52380952381,-7013,0,0.21262324945324,0,0.384358215499288,19.047619047619,-871,10362,-871,17375,18246,-871,17375
globalPerMotor,1,opening,-96,96,0.2,21,15,-5699.89285714286,-7887,0,0.312391365622211,0,0.432259125287734,33.3333333333333,-871,9800.75,-871,17375,18246,-871,17375
globalPerMotor,1,opening,-128,128,0.2,21,14,-6663.13492063492,-9633.56666666667,0,0.365183323502955,0,0.527982388834082,38.0952380952381,-871,8448.83333333333,-871,17375,18246,-871,17375
globalPerMotor,1,opening,-160,160,0.2,21,13,-7193.78095238095,-10666.1,0,0.394266192720648,0,0.584571960977749,42.8571428571429,-871,7267.2,-871,17375,18246,-871,17375
globalPerMotor,1,opening,-192,192,0.2,21,11,-7631.11904761905,-11682.7,0,0.418235177442675,0,0.640288282363258,52.3809523809524,-871,6347.75,-871,17375,18246,-871,17375
globalPerMotor,1,opening,-224,224,0.2,21,10,-7836.46031746032,-12178.5,0,0.429489220511911,0,0.667461361394278,57.1428571428571,-871,5833.66666666667,-871,17375,18246,-871,17375
globalPerMotor,1,opening,-255,255,0.2,21,10,-8127.94444444445,-12850.1333333333,0,0.445464454918582,0,0.704271255800358,57.1428571428571,-871,5034.33333333333,-871,17375,18246,-871,17375
globalPerMotor,2,closing,64,64,0.2,21,20,572.139682539683,0,2345.33333333333,0.0783967775472297,0,0.321366584452361,9.52380952380952,1868.33333333333,6821,-477,6821,7298,-477,6821
globalPerMotor,2,closing,96,96,0.2,21,20,1504.35,0,4095.75,0.206131816936147,0,0.561215401479857,9.52380952380952,3618.75,6821,-477,6821,7298,-477,6821
globalPerMotor,2,closing,128,128,0.2,21,20,2837.28253968254,0,5999.66666666667,0.388775354848252,0,0.822097378277154,9.52380952380952,5522.66666666667,6821,-477,6821,7298,-477,6821
globalPerMotor,2,closing,160,160,0.2,21,20,3239.92380952381,0,6682.6,0.443946808649467,0,0.915675527541792,9.52380952380952,6205.6,6821,-477,6821,7298,-477,6821
globalPerMotor,2,closing,192,192,0.2,21,2,3363.28571428571,0,6998,0.460850330814705,0,0.95889284735544,95.2380952380952,6521,6821,-477,6821,7298,-477,6821
globalPerMotor,2,closing,224,224,0.2,21,2,3435.50793650794,0,7073.83333333333,0.470746497192099,0,0.969283822051704,95.2380952380952,6596.83333333333,6821,-477,6821,7298,-477,6821
