grid,motor,direction,pwm,pwm_magnitude,duration,n_initial,n_unique_endpoints,mean_displacement,min_displacement,max_displacement,mean_abs_stroke_fraction,min_abs_stroke_fraction,max_abs_stroke_fraction,modal_endpoint_percent,q_final_min,q_final_max,motor_global_min,motor_global_max,motor_stroke,grid_initial_min,grid_initial_max
perCombination,1,closing,64,64,0.2,21,21,1986.21587301587,0,4075.2,0.108857605667865,0,0.223347583031897,4.76190476190476,3925.33333333333,17016,-871,17375,18246,0,17016
perCombination,1,closing,96,96,0.2,21,21,4303.33333333333,0,6428.45,0.235850780079652,0,0.352321056669955,4.76190476190476,6279.75,17046,-871,17375,18246,0,17046
perCombination,1,closing,128,128,0.2,21,17,5854.59523809524,0,8330.9,0.320870066759577,0,0.456587745259235,23.8095238095238,7999.5,17172,-871,17375,18246,0,17172
perCombination,1,closing,160,160,0.2,21,17,6386.21428571429,0,9329.55,0.350006263603764,0,0.511320289378494,23.8095238095238,9023.8,17201,-871,17375,18246,0,17201
perCombination,1,closing,192,192,0.2,21,13,6926.93650793651,0,10174.6,0.379641373886688,0,0.557634550038365,42.8571428571429,9863.66666666667,17288,-871,17375,18246,0,17288
perCombination,1,closing,224,224,0.2,21,13,7180.03968253968,0,10735.5666666667,0.393513081362473,0,0.588379188132559,42.8571428571429,10436.8333333333,17282,-871,17375,18246,0,17282
perCombination,1,closing,255,255,0.2,21,11,7439.51587301587,0,11484.25,0.407734071742622,0,0.629411925901567,52.3809523809524,11176.6666666667,17375,-871,17375,18246,0,17375
perCombination,1,opening,-64,64,0.2,21,17,-3943.77777777778,-6654,0,0.216144786680795,0,0.364682670174285,19.047619047619,-194,10362,-871,17375,18246,-194,17016
perCombination,1,opening,-96,96,0.2,21,15,-5815.42857142857,-7943.5,0,0.31872347755281,0,0.435355694398772,33.3333333333333,-368,9800.75,-871,17375,18246,-368,17046
perCombination,1,opening,-128,128,0.2,21,14,-6734.85714285714,-9611.51666666667,0,0.369114169837616,0,0.526773904782783,38.0952380952381,-557,8448.83333333333,-871,17375,18246,-557,17172
perCombination,1,opening,-160,160,0.2,21,13,-7223.05714285714,-10641.4,0,0.395870719218302,0,0.583218239614162,42.8571428571429,-688,7267.2,-871,17375,18246,-688,17200
perCombination,1,opening,-192,192,0.2,21,11,-7673.16666666667,-11671,0,0.420539661661003,0,0.639647045927875,52.3809523809524,-707,6347.75,-871,17375,18246,-707,17288
perCombination,1,opening,-224,224,0.2,21,10,-7842.19841269841,-12190.0833333333,0,0.429803705617583,0,0.668096203734152,57.1428571428571,-788,5833.66666666667,-871,17375,18246,-788,17281
perCombination,1,opening,-255,255,0.2,21,10,-8127.94444444445,-12850.1333333333,0,0.445464454918582,0,0.704271255800358,57.1428571428571,-871,5034.33333333333,-871,17375,18246,-871,17375
perCombination,2,closing,64,64,0.2,21,21,566.392857142857,0,1868.33333333333,0.0776093254511999,0,0.256006211747511,4.76190476190476,1868.33333333333,5265,-477,6821,7298,0,5265
perCombination,2,closing,96,96,0.2,21,21,1398.13095238095,0,3618.75,0.191577274922027,0,0.495855028775007,4.76190476190476,3618.75,6505,-477,6821,7298,0,6505
perCombination,2,closing,128,128,0.2,21,21,2698.06825396825,0,5522.66666666667,0.369699678537716,0,0.756737005572303,4.76190476190476,5522.66666666667,6638,-477,6821,7298,0,6638
perCombination,2,closing,160,160,0.2,21,20,3085.89523809524,0,6205.6,0.422841221991674,0,0.850315154836942,9.52380952380952,6205.6,6658,-477,6821,7298,0,6658
perCombination,2,closing,192,192,0.2,21,2,3258.69047619048,0,6521,0.446518289420454,0,0.893532474650589,95.2380952380952,6521,6525,-477,6821,7298,0,6525
perCombination,2,closing,224,224,0.2,21,2,3233.65079365079,0,6596.83333333333,0.443087255912687,0,0.903923449346853,95.2380952380952,6596.83333333333,6740,-477,6821,7298,0,6740
perCombination,2,closing,255,255,0.2,21,2,3262.0873015873,0,6665.16666666667,0.446983735487435,0,0.913286745227003,95.2380952380952,6665.16666666667,6821,-477,6821,7298,0,6821
perCombination,2,opening,-64,64,0.2,21,16,-1495.69841269841,-3140,0,0.2049463432034,0,0.430254864346396,28.5714285714286,-24,2410,-477,6821,7298,-24,5550
perCombination,2,opening,-96,96,0.2,21,6,-3160.52380952381,-6045.5,0,0.433067115582873,0,0.828377637708961,61.9047619047619,-178,459.5,-477,6821,7298,-178,6505
perCombination,2,opening,-128,128,0.2,21,4,-3393.43650793651,-6742,0,0.464981708404564,0,0.923814743765415,80.9523809523809,-278,-104,-477,6821,7298,-278,6638
perCombination,2,opening,-160,160,0.2,21,2,-3425.09523809524,-6958.4,0,0.469319709248457,0,0.953466703206358,95.2380952380952,-420,-300.4,-477,6821,7298,-420,6658
perCombination,2,opening,-192,192,0.2,21,2,-3415.2619047619,-6887.75,0,0.467972308133996,0,0.943785968758564,95.2380952380952,-427,-363.75,-477,6821,7298,-427,6524
