case_id,grid,motor,direction,pwm,initial_index,q_initial,duration,n_points,first,q_final,trajectory_sum,displacement,abs_stroke_fraction,monotonic,n_reverse_steps,minimum_directed_step,out_of_curve_domain,held_initial
22,globalPerMotor,1,closing,64,1,-871,3,21,2762,14316,258575.666666667,15187,0.832346815740436,1,0,0,0,0
23,globalPerMotor,1,closing,64,2,41.3,3,21,2891.66666666667,14316,259161,14274.7,0.782346815740436,1,0,0,0,0
24,globalPerMotor,1,closing,64,3,953.6,3,21,3963.33333333333,14316,263735.666666667,13362.4,0.732346815740436,1,0,0,0,0
25,globalPerMotor,1,closing,64,4,1865.9,3,21,4748.66666666667,14316,266985.666666667,12450.1,0.682346815740436,1,0,0,0,0
26,globalPerMotor,1,closing,64,5,2778.2,3,21,5474,14316,270226.333333333,11537.8,0.632346815740436,1,0,0,0,0
27,globalPerMotor,1,closing,64,6,3690.5,3,21,6159.33333333333,14316,273253.333333333,10625.5,0.582346815740436,1,0,0,0,0
28,globalPerMotor,1,closing,64,7,4602.8,3,21,6856,14316,276086.333333333,9713.2,0.532346815740436,1,0,0,0,0
29,globalPerMotor,1,closing,64,8,5515.1,3,21,7563,14316,279252.333333333,8800.9,0.482346815740436,1,0,0,0,0
30,globalPerMotor,1,closing,64,9,6427.4,3,21,8300.33333333333,14316,282276.333333333,7888.6,0.432346815740436,1,0,0,0,0
31,globalPerMotor,1,closing,64,10,7339.7,3,21,9047.33333333333,14316,285238,6976.3,0.382346815740436,1,0,0,0,0
32,globalPerMotor,1,closing,64,11,8252,3,21,9739.66666666667,14316,288167,6064,0.332346815740436,1,0,0,0,0
33,globalPerMotor,1,closing,64,12,9164.3,3,21,10481,14316,290897.666666667,5151.7,0.282346815740436,1,0,0,0,0
34,globalPerMotor,1,closing,64,13,10076.6,3,21,11448.3333333333,14316,293685,4239.4,0.232346815740436,1,0,0,0,0
35,globalPerMotor,1,closing,64,14,10988.9,3,21,12101.6666666667,14316,295826.333333333,3327.1,0.182346815740436,1,0,0,0,0
36,globalPerMotor,1,closing,64,15,11901.2,3,21,12684.6666666667,14316,297619,2414.8,0.132346815740436,1,0,0,0,0
37,globalPerMotor,1,closing,64,16,12813.5,3,21,13518.6666666667,14316,299415,1502.5,0.0823468157404363,1,0,0,0,0
38,globalPerMotor,1,closing,64,17,13725.8,3,21,14162.3333333333,14316,300482.333333333,590.200000000001,0.0323468157404363,1,0,0,0,0
39,globalPerMotor,1,closing,64,18,14638.1,3,21,14638.1,14638.1,307400.1,0,0,1,0,0,1,1
40,globalPerMotor,1,closing,64,19,15550.4,3,21,15550.4,15550.4,326558.4,0,0,1,0,0,1,1
41,globalPerMotor,1,closing,64,20,16462.7,3,21,16462.7,16462.7,345716.7,0,0,1,0,0,1,1
42,globalPerMotor,1,closing,64,21,17375,3,21,17375,17375,364875,0,0,1,0,0,1,1
64,globalPerMotor,1,closing,96,1,-871,3,21,4536.5,16961.75,328314.5,17832.75,0.977351200263071,1,0,0,0,0
65,globalPerMotor,1,closing,96,2,41.3,3,21,4764.5,16961.75,329046.75,16920.45,0.927351200263071,1,0,0,0,0
66,globalPerMotor,1,closing,96,3,953.6,3,21,5752.75,16961.75,332237,16008.15,0.877351200263071,1,0,0,0,0
67,globalPerMotor,1,closing,96,4,1865.9,3,21,6508,16961.75,334685.75,15095.85,0.827351200263071,1,0,0,0,0
68,globalPerMotor,1,closing,96,5,2778.2,3,21,7253.75,16961.75,336881,14183.55,0.777351200263071,1,0,0,0,0
69,globalPerMotor,1,closing,96,6,3690.5,3,21,7966.5,16961.75,338880.5,13271.25,0.727351200263071,1,0,0,0,0
70,globalPerMotor,1,closing,96,7,4602.8,3,21,8715.75,16961.75,340975.25,12358.95,0.677351200263071,1,0,0,0,0
71,globalPerMotor,1,closing,96,8,5515.1,3,21,9459.5,16961.75,342999.75,11446.65,0.627351200263071,1,0,0,0,0
72,globalPerMotor,1,closing,96,9,6427.4,3,21,10227.5,16961.75,345026.75,10534.35,0.577351200263071,1,0,0,0,0
73,globalPerMotor,1,closing,96,10,7339.7,3,21,11035.75,16961.75,346791.25,9622.05,0.527351200263071,1,0,0,0,0
74,globalPerMotor,1,closing,96,11,8252,3,21,11826.25,16961.75,348424.5,8709.75,0.477351200263071,1,0,0,0,0
75,globalPerMotor,1,closing,96,12,9164.3,3,21,12644.75,16961.75,350030.5,7797.45,0.427351200263071,1,0,0,0,0
76,globalPerMotor,1,closing,96,13,10076.6,3,21,13472.25,16961.75,351563,6885.15,0.377351200263071,1,0,0,0,0
77,globalPerMotor,1,closing,96,14,10988.9,3,21,14212,16961.75,352666.5,5972.85,0.327351200263071,1,0,0,0,0
