case_id,grid,motor,direction,pwm,initial_index,q_initial,duration,n_points,first,q_final,trajectory_sum,displacement,abs_stroke_fraction,monotonic,n_reverse_steps,minimum_directed_step,out_of_curve_domain,held_initial
22,perCombination,1,closing,64,1,0,3,21,2762,14316,258575.666666667,14316,0.784610325550806,1,0,0,0,0
23,perCombination,1,closing,64,2,850.8,3,21,3887.33333333333,14316,263417.666666667,13465.2,0.737980927326537,1,0,0,0,0
24,perCombination,1,closing,64,3,1701.6,3,21,4624,14316,266444.333333333,12614.4,0.691351529102269,1,0,0,0,0
25,perCombination,1,closing,64,4,2552.4,3,21,5307,14316,269476.333333333,11763.6,0.644722130878001,1,0,0,0,0
26,perCombination,1,closing,64,5,3403.2,3,21,5947,14316,272342.666666667,10912.8,0.598092732653732,1,0,0,0,0
27,perCombination,1,closing,64,6,4254,3,21,6596,14316,275015.333333333,10062,0.551463334429464,1,0,0,0,0
28,perCombination,1,closing,64,7,5104.8,3,21,7247.33333333333,14316,277833.666666667,9211.2,0.504833936205196,1,0,0,0,0
29,perCombination,1,closing,64,8,5955.6,3,21,7913.33333333333,14316,280771.333333333,8360.4,0.458204537980927,1,0,0,0,0
30,perCombination,1,closing,64,9,6806.4,3,21,8602,14316,283420.666666667,7509.6,0.411575139756659,1,0,0,0,0
31,perCombination,1,closing,64,10,7657.2,3,21,9310,14316,286355.333333333,6658.8,0.364945741532391,1,0,0,0,0
32,perCombination,1,closing,64,11,8508,3,21,9924.66666666667,14316,288873.666666667,5808,0.318316343308122,1,0,0,0,0
33,perCombination,1,closing,64,12,9358.8,3,21,10673.6666666667,14316,291558.333333333,4957.2,0.271686945083854,1,0,0,0,0
34,perCombination,1,closing,64,13,10209.6,3,21,11560.3333333333,14316,294016.666666667,4106.4,0.225057546859586,1,0,0,0,0
35,perCombination,1,closing,64,14,11060.4,3,21,12144,14316,295950.666666667,3255.6,0.178428148635317,1,0,0,0,0
36,perCombination,1,closing,64,15,11911.2,3,21,12696.6666666667,14316,297651.666666667,2404.8,0.131798750411049,1,0,0,0,0
37,perCombination,1,closing,64,16,12762,3,21,13502.3333333333,14316,299377.333333333,1554,0.0851693521867807,1,0,0,0,0
38,perCombination,1,closing,64,17,13612.8,3,21,14026.6666666667,14316,300346.666666667,703.200000000001,0.0385399539625124,1,0,0,0,0
39,perCombination,1,closing,64,18,14463.6,3,21,14463.6,14463.6,303735.6,0,0,1,0,0,1,1
40,perCombination,1,closing,64,19,15314.4,3,21,15314.4,15314.4,321602.4,0,0,1,0,0,1,1
41,perCombination,1,closing,64,20,16165.2,3,21,16165.2,16165.2,339469.2,0,0,1,0,0,1,1
42,perCombination,1,closing,64,21,17016,3,21,17016,17016,357336,0,0,1,0,0,1,1
64,perCombination,1,closing,96,1,0,3,21,4536.5,16961.75,328314.5,16961.75,0.929614710073441,1,0,0,0,0
65,perCombination,1,closing,96,2,852.3,3,21,5664,16961.75,331950.25,16109.45,0.882903102049764,1,0,0,0,0
66,perCombination,1,closing,96,3,1704.6,3,21,6394.5,16961.75,334314,15257.15,0.836191494026088,1,0,0,0,0
67,perCombination,1,closing,96,4,2556.9,3,21,7063.5,16961.75,336339.5,14404.85,0.789479886002411,1,0,0,0,0
68,perCombination,1,closing,96,5,3409.2,3,21,7746.75,16961.75,338263.25,13552.55,0.742768277978735,1,0,0,0,0
69,perCombination,1,closing,96,6,4261.5,3,21,8423,16961.75,340170,12700.25,0.696056669955059,1,0,0,0,0
70,perCombination,1,closing,96,7,5113.8,3,21,9102.5,16961.75,342035.75,11847.95,0.649345061931382,1,0,0,0,0
71,perCombination,1,closing,96,8,5966.1,3,21,9829,16961.75,343988,10995.65,0.602633453907706,1,0,0,0,0
72,perCombination,1,closing,96,9,6818.4,3,21,10579.25,16961.75,345828.25,10143.35,0.555921845884029,1,0,0,0,0
73,perCombination,1,closing,96,10,7670.7,3,21,11316.75,16961.75,347382.5,9291.05,0.509210237860353,1,0,0,0,0
74,perCombination,1,closing,96,11,8523,3,21,12052.75,16961.75,348885.75,8438.75,0.462498629836677,1,0,0,0,0
75,perCombination,1,closing,96,12,9375.3,3,21,12825.25,16961.75,350377.5,7586.45,0.415787021813,1,0,0,0,0
76,perCombination,1,closing,96,13,10227.6,3,21,13605,16961.75,351800.5,6734.15,0.369075413789324,1,0,0,0,0
77,perCombination,1,closing,96,14,11079.9,3,21,14287.25,16961.75,352770.25,5881.85,0.322363805765647,1,0,0,0,0
78,perCombination,1,closing,96,15,11932.2,3,21,14969.5,16961.75,353679.25,5029.55,0.275652197741971,1,0,0,0,0
79,perCombination,1,closing,96,16,12784.5,3,21,15618,16961.75,354495.75,4177.25,0.228940589718294,1,0,0,0,0
80,perCombination,1,closing,96,17,13636.8,3,21,16267,16961.75,355192.25,3324.95,0.182228981694618,1,0,0,0,0
81,perCombination,1,closing,96,18,14489.1,3,21,16516.75,16961.75,355525.25,2472.65,0.135517373670942,1,0,0,0,0
82,perCombination,1,closing,96,19,15341.4,3,21,16681,16961.75,355770,1620.35,0.0888057656472652,1,0,0,0,0
83,perCombination,1,closing,96,20,16193.7,3,21,16732,16961.75,355882.5,768.049999999999,0.0420941576235887,1,0,0,0,0
84,perCombination,1,closing,96,21,17046,3,21,17046,17046,357966,0,0,1,0,0,1,1
106,perCombination,1,closing,128,1,0,3,21,5684.33333333333,17101,340877.833333333,17101,0.937246519785158,1,0,0,0,0
107,perCombination,1,closing,128,2,858.6,3,21,6902.5,17101,343861.166666667,16242.4,0.890189630603968,1,0,0,0,0
108,perCombination,1,closing,128,3,1717.2,3,21,7716.83333333333,17101,345609.5,15383.8,0.843132741422778,1,0,0,0,0
109,perCombination,1,closing,128,4,2575.8,3,21,8509.66666666667,17101,347256.166666667,14525.2,0.796075852241587,1,0,0,0,0
110,perCombination,1,closing,128,5,3434.4,3,21,9301.33333333333,17101,348746.166666667,13666.6,0.749018963060397,1,0,0,0,0
111,perCombination,1,closing,128,6,4293,3,21,10086.3333333333,17101,350192.666666667,12808,0.701962073879206,1,0,0,0,0
112,perCombination,1,closing,128,7,5151.6,3,21,10901,17101,351543.333333333,11949.4,0.654905184698016,1,0,0,0,0
113,perCombination,1,closing,128,8,6010.2,3,21,11689.5,17101,352853.666666667,11090.8,0.607848295516826,1,0,0,0,0
114,perCombination,1,closing,128,9,6868.8,3,21,12454,17101,354059.666666667,10232.2,0.560791406335635,1,0,0,0,0
115,perCombination,1,closing,128,10,7727.4,3,21,13203.3333333333,17101,355036.333333333,9373.6,0.513734517154445,1,0,0,0,0
116,perCombination,1,closing,128,11,8586,3,21,13965.8333333333,17101,355974.5,8515,0.466677627973254,1,0,0,0,0
117,perCombination,1,closing,128,12,9444.6,3,21,14682.6666666667,17101,356702.666666667,7656.4,0.419620738792064,1,0,0,0,0
118,perCombination,1,closing,128,13,10303.2,3,21,15344.6666666667,17101,357364.666666667,6797.8,0.372563849610874,1,0,0,0,0
119,perCombination,1,closing,128,14,11161.8,3,21,15894.1666666667,17101,357914.166666667,5939.2,0.325506960429683,1,0,0,0,0
120,perCombination,1,closing,128,15,12020.4,3,21,16484.1666666667,17101,358504.166666667,5080.6,0.278450071248493,1,0,0,0,0
121,perCombination,1,closing,128,16,12879,3,21,16839.6666666667,17101,358859.666666667,4222,0.231393182067302,1,0,0,0,0
122,perCombination,1,closing,128,17,13737.6,3,21,17043.3333333333,17101,359063.333333333,3363.4,0.184336292886112,1,0,0,0,0
123,perCombination,1,closing,128,18,14596.2,3,21,17101,17101,359121,2504.8,0.137279403704922,1,0,0,0,0
124,perCombination,1,closing,128,19,15454.8,3,21,17101,17101,359121,1646.2,0.0902225145237313,1,0,0,0,0
125,perCombination,1,closing,128,20,16313.4,3,21,17101,17101,359121,787.6,0.0431656253425408,1,0,0,0,0
126,perCombination,1,closing,128,21,17172,3,21,17172,17172,360612,0,0,1,0,0,1,1
148,perCombination,1,closing,160,1,0,3,21,6459.4,17116.6,344238,17116.6,0.938101501699002,1,0,0,0,0
149,perCombination,1,closing,160,2,860.05,3,21,7632.8,17116.6,346576.2,16256.55,0.890965143045051,1,0,0,0,0
150,perCombination,1,closing,160,3,1720.1,3,21,8440,17116.6,348160.6,15396.5,0.843828784391099,1,0,0,0,0
151,perCombination,1,closing,160,4,2580.15,3,21,9230.6,17116.6,349609.4,14536.45,0.796692425737148,1,0,0,0,0
152,perCombination,1,closing,160,5,3440.2,3,21,10011,17116.6,351046.6,13676.4,0.749556067083196,1,0,0,0,0
153,perCombination,1,closing,160,6,4300.25,3,21,10807.6,17116.6,352348.4,12816.35,0.702419708429245,1,0,0,0,0
154,perCombination,1,closing,160,7,5160.3,3,21,11585.2,17116.6,353482,11956.3,0.655283349775293,1,0,0,0,0
155,perCombination,1,closing,160,8,6020.35,3,21,12356.2,17116.6,354464.2,11096.25,0.608146991121342,1,0,0,0,0
156,perCombination,1,closing,160,9,6880.4,3,21,13153.8,17116.6,355350.2,10236.2,0.56101063246739,1,0,0,0,0
157,perCombination,1,closing,160,10,7740.45,3,21,13908.6,17116.6,356191.6,9376.15,0.513874273813438,1,0,0,0,0
158,perCombination,1,closing,160,11,8600.5,3,21,14663.8,17116.6,356995.8,8516.1,0.466737915159487,1,0,0,0,0
159,perCombination,1,closing,160,12,9460.55,3,21,15381,17116.6,357713,7656.05,0.419601556505535,1,0,0,0,0
160,perCombination,1,closing,160,13,10320.6,3,21,16024.2,17116.6,358356.2,6796,0.372465197851584,1,0,0,0,0
161,perCombination,1,closing,160,14,11180.65,3,21,16515,17116.6,358847,5935.95,0.325328839197632,1,0,0,0,0
162,perCombination,1,closing,160,15,12040.7,3,21,16850.6,17116.6,359182.6,5075.9,0.278192480543681,1,0,0,0,0
163,perCombination,1,closing,160,16,12900.75,3,21,16953.4,17116.6,359285.4,4215.85,0.231056121889729,1,0,0,0,0
164,perCombination,1,closing,160,17,13760.8,3,21,17054.6,17116.6,359386.6,3355.8,0.183919763235778,1,0,0,0,0
165,perCombination,1,closing,160,18,14620.85,3,21,17116.6,17116.6,359448.6,2495.75,0.136783404581826,1,0,0,0,0
166,perCombination,1,closing,160,19,15480.9,3,21,17116.6,17116.6,359448.6,1635.7,0.0896470459278745,1,0,0,0,0
167,perCombination,1,closing,160,20,16340.95,3,21,17116.6,17116.6,359448.6,775.649999999998,0.0425106872739229,1,0,0,0,0
168,perCombination,1,closing,160,21,17201,3,21,17201,17201,361221,0,0,1,0,0,1,1
190,perCombination,1,closing,192,1,0,3,21,7040.66666666667,17209,348104.333333333,17209,0.943165625342541,1,0,0,0,0
191,perCombination,1,closing,192,2,864.4,3,21,8229.33333333333,17209,350444,16344.6,0.895790858270306,1,0,0,0,0
192,perCombination,1,closing,192,3,1728.8,3,21,9011.33333333333,17209,351974,15480.2,0.848416091198071,1,0,0,0,0
193,perCombination,1,closing,192,4,2593.2,3,21,9863.66666666667,17209,353501,14615.8,0.801041324125836,1,0,0,0,0
194,perCombination,1,closing,192,5,3457.6,3,21,10640.3333333333,17209,354541.666666667,13751.4,0.753666557053601,1,0,0,0,0
195,perCombination,1,closing,192,6,4322,3,21,11484.3333333333,17209,355624.333333333,12887,0.706291789981366,1,0,0,0,0
196,perCombination,1,closing,192,7,5186.4,3,21,12330,17209,356510,12022.6,0.658917022909131,1,0,0,0,0
197,perCombination,1,closing,192,8,6050.8,3,21,13166.6666666667,17209,357346.666666667,11158.2,0.611542255836896,1,0,0,0,0
198,perCombination,1,closing,192,9,6915.2,3,21,13996,17209,358176,10293.8,0.564167488764661,1,0,0,0,0
199,perCombination,1,closing,192,10,7779.6,3,21,14812.6666666667,17209,358992.666666667,9429.4,0.516792721692426,1,0,0,0,0
200,perCombination,1,closing,192,11,8644,3,21,15667.6666666667,17209,359847.666666667,8565,0.469417954620191,1,0,0,0,0
201,perCombination,1,closing,192,12,9508.4,3,21,16470.6666666667,17209,360650.666666667,7700.6,0.422043187547956,1,0,0,0,0
202,perCombination,1,closing,192,13,10372.8,3,21,16858.3333333333,17209,361038.333333333,6836.2,0.374668420475721,1,0,0,0,0
203,perCombination,1,closing,192,14,11237.2,3,21,17114.3333333333,17209,361294.333333333,5971.8,0.327293653403486,1,0,0,0,0
204,perCombination,1,closing,192,15,12101.6,3,21,17209,17209,361389,5107.4,0.279918886331251,1,0,0,0,0
205,perCombination,1,closing,192,16,12966,3,21,17209,17209,361389,4243,0.232544119259016,1,0,0,0,0
206,perCombination,1,closing,192,17,13830.4,3,21,17209,17209,361389,3378.6,0.185169352186781,1,0,0,0,0
207,perCombination,1,closing,192,18,14694.8,3,21,17209,17209,361389,2514.2,0.137794585114546,1,0,0,0,0
208,perCombination,1,closing,192,19,15559.2,3,21,17209,17209,361389,1649.8,0.0904198180423106,1,0,0,0,0
209,perCombination,1,closing,192,20,16423.6,3,21,17209,17209,361389,785.400000000001,0.0430450509700757,1,0,0,0,0
210,perCombination,1,closing,192,21,17288,3,21,17288,17288,363048,0,0,1,0,0,1,1
232,perCombination,1,closing,224,1,0,3,21,7429.66666666667,17213.8333333333,349405,17213.8333333333,0.943430523585078,1,0,0,0,0
233,perCombination,1,closing,224,2,864.1,3,21,8588.5,17213.8333333333,351648.166666667,16349.7333333333,0.896072198472725,1,0,0,0,0
234,perCombination,1,closing,224,3,1728.2,3,21,9410.66666666667,17213.8333333333,353223.666666667,15485.6333333333,0.848713873360371,1,0,0,0,0
235,perCombination,1,closing,224,4,2592.3,3,21,10277.8333333333,17213.8333333333,354358.833333333,14621.5333333333,0.801355548248018,1,0,0,0,0
236,perCombination,1,closing,224,5,3456.4,3,21,11078.8333333333,17213.8333333333,355274.333333333,13757.4333333333,0.753997223135664,1,0,0,0,0
237,perCombination,1,closing,224,6,4320.5,3,21,11917,17213.8333333333,356193.666666667,12893.3333333333,0.706638898023311,1,0,0,0,0
238,perCombination,1,closing,224,7,5184.6,3,21,12754.5,17213.8333333333,357031.166666667,12029.2333333333,0.659280572910958,1,0,0,0,0
239,perCombination,1,closing,224,8,6048.7,3,21,13591,17213.8333333333,357867.666666667,11165.1333333333,0.611922247798604,1,0,0,0,0
240,perCombination,1,closing,224,9,6912.8,3,21,14461.1666666667,17213.8333333333,358737.833333333,10301.0333333333,0.564563922686251,1,0,0,0,0
241,perCombination,1,closing,224,10,7776.9,3,21,15260.3333333333,17213.8333333333,359537,9436.93333333333,0.517205597573897,1,0,0,0,0
242,perCombination,1,closing,224,11,8641,3,21,16094.6666666667,17213.8333333333,360371.333333333,8572.83333333333,0.469847272461544,1,0,0,0,0
243,perCombination,1,closing,224,12,9505.1,3,21,16820.6666666667,17213.8333333333,361097.333333333,7708.73333333333,0.422488947349191,1,0,0,0,0
244,perCombination,1,closing,224,13,10369.2,3,21,17033.5,17213.8333333333,361310.166666667,6844.63333333333,0.375130622236837,1,0,0,0,0
245,perCombination,1,closing,224,14,11233.3,3,21,17162.5,17213.8333333333,361439.166666667,5980.53333333333,0.327772297124484,1,0,0,0,0
246,perCombination,1,closing,224,15,12097.4,3,21,17213.8333333333,17213.8333333333,361490.5,5116.43333333333,0.28041397201213,1,0,0,0,0
247,perCombination,1,closing,224,16,12961.5,3,21,17213.8333333333,17213.8333333333,361490.5,4252.33333333333,0.233055646899777,1,0,0,0,0
248,perCombination,1,closing,224,17,13825.6,3,21,17213.8333333333,17213.8333333333,361490.5,3388.23333333333,0.185697321787424,1,0,0,0,0
249,perCombination,1,closing,224,18,14689.7,3,21,17213.8333333333,17213.8333333333,361490.5,2524.13333333333,0.13833899667507,1,0,0,0,0
250,perCombination,1,closing,224,19,15553.8,3,21,17213.8333333333,17213.8333333333,361490.5,1660.03333333333,0.0909806715627169,1,0,0,0,0
251,perCombination,1,closing,224,20,16417.9,3,21,17213.8333333333,17213.8333333333,361490.5,795.933333333331,0.0436223464503634,1,0,0,0,0
252,perCombination,1,closing,224,21,17282,3,21,17282,17282,362922,0,0,1,0,0,1,1
274,perCombination,1,closing,255,1,0,3,21,7924.66666666667,17246.5,351502,17246.5,0.945220870327743,1,0,0,0,0
275,perCombination,1,closing,255,2,868.75,3,21,9118.33333333333,17246.5,353643.333333333,16377.75,0.897607694837225,1,0,0,0,0
276,perCombination,1,closing,255,3,1737.5,3,21,9979.5,17246.5,354786.833333333,15509,0.849994519346706,1,0,0,0,0
277,perCombination,1,closing,255,4,2606.25,3,21,10835.5,17246.5,355755.5,14640.25,0.802381343856188,1,0,0,0,0
278,perCombination,1,closing,255,5,3475,3,21,11684.8333333333,17246.5,356614.833333333,13771.5,0.754768168365669,1,0,0,0,0
279,perCombination,1,closing,255,6,4343.75,3,21,12463.8333333333,17246.5,357393.833333333,12902.75,0.707154992875151,1,0,0,0,0
280,perCombination,1,closing,255,7,5212.5,3,21,13304,17246.5,358234,12034,0.659541817384632,1,0,0,0,0
281,perCombination,1,closing,255,8,6081.25,3,21,14172,17246.5,359102,11165.25,0.611928641894114,1,0,0,0,0
282,perCombination,1,closing,255,9,6950,3,21,14987,17246.5,359917,10296.5,0.564315466403595,1,0,0,0,0
283,perCombination,1,closing,255,10,7818.75,3,21,15841,17246.5,360771,9427.75,0.516702290913077,1,0,0,0,0
284,perCombination,1,closing,255,11,8687.5,3,21,16582.8333333333,17246.5,361512.833333333,8559,0.469089115422558,1,0,0,0,0
285,perCombination,1,closing,255,12,9556.25,3,21,17030.5,17246.5,361960.5,7690.25,0.42147593993204,1,0,0,0,0
286,perCombination,1,closing,255,13,10425,3,21,17187.1666666667,17246.5,362117.166666667,6821.5,0.373862764441521,1,0,0,0,0
287,perCombination,1,closing,255,14,11293.75,3,21,17246.5,17246.5,362176.5,5952.75,0.326249588951003,1,0,0,0,0
288,perCombination,1,closing,255,15,12162.5,3,21,17246.5,17246.5,362176.5,5084,0.278636413460485,1,0,0,0,0
289,perCombination,1,closing,255,16,13031.25,3,21,17246.5,17246.5,362176.5,4215.25,0.231023237969966,1,0,0,0,0
290,perCombination,1,closing,255,17,13900,3,21,17246.5,17246.5,362176.5,3346.5,0.183410062479448,1,0,0,0,0
