subject,side,route,pwm_magnitude,count,fraction,highPwmFraction
BLANCA,1,A,0,0,0,1
BLANCA,1,A,64,0,0,1
BLANCA,1,A,96,0,0,1
BLANCA,1,A,128,0,0,1
BLANCA,1,A,160,0,0,1
BLANCA,1,A,192,0,0,1
BLANCA,1,A,224,0,0,1
BLANCA,1,A,255,32,1,1
BLANCA,1,B,0,0,0,1
BLANCA,1,B,64,0,0,1
BLANCA,1,B,96,0,0,1
BLANCA,1,B,128,0,0,1
BLANCA,1,B,160,0,0,1
BLANCA,1,B,192,0,0,1
BLANCA,1,B,224,0,0,1
BLANCA,1,B,255,36,1,1
BLANCA,1,C,0,0,0,1
BLANCA,1,C,64,0,0,1
BLANCA,1,C,96,0,0,1
BLANCA,1,C,128,0,0,1
BLANCA,1,C,160,0,0,1
BLANCA,1,C,192,0,0,1
BLANCA,1,C,224,0,0,1
BLANCA,1,C,255,32,1,1
BLANCA,2,A,0,0,0,1
BLANCA,2,A,64,0,0,1
BLANCA,2,A,96,0,0,1
BLANCA,2,A,128,0,0,1
BLANCA,2,A,160,0,0,1
BLANCA,2,A,192,0,0,1
BLANCA,2,A,224,2,0.0625,1
BLANCA,2,A,255,30,0.9375,1
BLANCA,2,B,0,0,0,1
BLANCA,2,B,64,0,0,1
BLANCA,2,B,96,0,0,1
BLANCA,2,B,128,0,0,1
BLANCA,2,B,160,0,0,1
BLANCA,2,B,192,0,0,1
BLANCA,2,B,224,2,0.05,1
BLANCA,2,B,255,38,0.95,1
BLANCA,2,C,0,0,0,1
BLANCA,2,C,64,0,0,1
BLANCA,2,C,96,0,0,1
BLANCA,2,C,128,0,0,1
BLANCA,2,C,160,0,0,1
BLANCA,2,C,192,0,0,1
BLANCA,2,C,224,2,0.0625,1
BLANCA,2,C,255,30,0.9375,1
CECILIA,1,A,0,1,0.03125,0.625
CECILIA,1,A,64,10,0.3125,0.625
CECILIA,1,A,96,1,0.03125,0.625
CECILIA,1,A,128,1,0.03125,0.625
CECILIA,1,A,160,5,0.15625,0.625
CECILIA,1,A,192,2,0.0625,0.625
CECILIA,1,A,224,5,0.15625,0.625
CECILIA,1,A,255,7,0.21875,0.625
CECILIA,1,B,0,1,0.025,0.7
CECILIA,1,B,64,10,0.25,0.7
CECILIA,1,B,96,1,0.025,0.7
CECILIA,1,B,128,1,0.025,0.7
CECILIA,1,B,160,5,0.125,0.7
CECILIA,1,B,192,2,0.05,0.7
CECILIA,1,B,224,7,0.175,0.7
CECILIA,1,B,255,13,0.325,0.7
CECILIA,1,C,0,1,0.03125,0.625
CECILIA,1,C,64,10,0.3125,0.625
CECILIA,1,C,96,1,0.03125,0.625
CECILIA,1,C,128,1,0.03125,0.625
CECILIA,1,C,160,5,0.15625,0.625
CECILIA,1,C,192,2,0.0625,0.625
CECILIA,1,C,224,5,0.15625,0.625
CECILIA,1,C,255,7,0.21875,0.625
CECILIA,2,A,0,1,0.03125,0.8125
CECILIA,2,A,64,3,0.09375,0.8125
CECILIA,2,A,96,2,0.0625,0.8125
CECILIA,2,A,128,2,0.0625,0.8125
CECILIA,2,A,160,1,0.03125,0.8125
CECILIA,2,A,192,2,0.0625,0.8125
CECILIA,2,A,224,9,0.28125,0.8125
CECILIA,2,A,255,12,0.375,0.8125
CECILIA,2,B,0,1,0.0277777777777778,0.75
CECILIA,2,B,64,5,0.138888888888889,0.75
CECILIA,2,B,96,3,0.0833333333333333,0.75
CECILIA,2,B,128,2,0.0555555555555556,0.75
CECILIA,2,B,160,1,0.0277777777777778,0.75
CECILIA,2,B,192,2,0.0555555555555556,0.75
CECILIA,2,B,224,9,0.25,0.75
CECILIA,2,B,255,13,0.361111111111111,0.75
CECILIA,2,C,0,1,0.03125,0.8125
CECILIA,2,C,64,3,0.09375,0.8125
CECILIA,2,C,96,2,0.0625,0.8125
CECILIA,2,C,128,2,0.0625,0.8125
CECILIA,2,C,160,1,0.03125,0.8125
CECILIA,2,C,192,2,0.0625,0.8125
CECILIA,2,C,224,9,0.28125,0.8125
CECILIA,2,C,255,12,0.375,0.8125
DENIS,1,A,0,0,0,0.75
DENIS,1,A,64,7,0.21875,0.75
DENIS,1,A,96,1,0.03125,0.75
DENIS,1,A,128,3,0.09375,0.75
DENIS,1,A,160,1,0.03125,0.75
DENIS,1,A,192,0,0,0.75
DENIS,1,A,224,5,0.15625,0.75
DENIS,1,A,255,15,0.46875,0.75
DENIS,1,B,0,0,0,0.8
DENIS,1,B,64,7,0.175,0.8
DENIS,1,B,96,1,0.025,0.8
DENIS,1,B,128,3,0.075,0.8
DENIS,1,B,160,1,0.025,0.8
DENIS,1,B,192,0,0,0.8
DENIS,1,B,224,5,0.125,0.8
DENIS,1,B,255,23,0.575,0.8
DENIS,1,C,0,0,0,0.75
DENIS,1,C,64,7,0.21875,0.75
DENIS,1,C,96,1,0.03125,0.75
DENIS,1,C,128,3,0.09375,0.75
DENIS,1,C,160,1,0.03125,0.75
DENIS,1,C,192,0,0,0.75
DENIS,1,C,224,5,0.15625,0.75
DENIS,1,C,255,15,0.46875,0.75
DENIS,2,A,0,0,0,0.96875
DENIS,2,A,64,1,0.03125,0.96875
DENIS,2,A,96,0,0,0.96875
DENIS,2,A,128,1,0.03125,0.96875
DENIS,2,A,160,1,0.03125,0.96875
DENIS,2,A,192,1,0.03125,0.96875
DENIS,2,A,224,5,0.15625,0.96875
DENIS,2,A,255,23,0.71875,0.96875
DENIS,2,B,0,0,0,0.972222222222222
DENIS,2,B,64,1,0.0277777777777778,0.972222222222222
DENIS,2,B,96,0,0,0.972222222222222
DENIS,2,B,128,1,0.0277777777777778,0.972222222222222
DENIS,2,B,160,1,0.0277777777777778,0.972222222222222
DENIS,2,B,192,1,0.0277777777777778,0.972222222222222
DENIS,2,B,224,6,0.166666666666667,0.972222222222222
DENIS,2,B,255,26,0.722222222222222,0.972222222222222
DENIS,2,C,0,0,0,0.96875
DENIS,2,C,64,1,0.03125,0.96875
DENIS,2,C,96,0,0,0.96875
DENIS,2,C,128,1,0.03125,0.96875
DENIS,2,C,160,1,0.03125,0.96875
DENIS,2,C,192,1,0.03125,0.96875
DENIS,2,C,224,5,0.15625,0.96875
DENIS,2,C,255,23,0.71875,0.96875
EMILIA,1,A,0,3,0.09375,0.40625
EMILIA,1,A,64,14,0.4375,0.40625
EMILIA,1,A,96,2,0.0625,0.40625
EMILIA,1,A,128,2,0.0625,0.40625
EMILIA,1,A,160,3,0.09375,0.40625
EMILIA,1,A,192,0,0,0.40625
EMILIA,1,A,224,8,0.25,0.40625
EMILIA,1,A,255,0,0,0.40625
EMILIA,1,B,0,4,0.1,0.45
EMILIA,1,B,64,15,0.375,0.45
EMILIA,1,B,96,3,0.075,0.45
EMILIA,1,B,128,2,0.05,0.45
EMILIA,1,B,160,3,0.075,0.45
EMILIA,1,B,192,0,0,0.45
EMILIA,1,B,224,12,0.3,0.45
EMILIA,1,B,255,1,0.025,0.45
EMILIA,1,C,0,3,0.09375,0.40625
EMILIA,1,C,64,14,0.4375,0.40625
EMILIA,1,C,96,2,0.0625,0.40625
EMILIA,1,C,128,2,0.0625,0.40625
EMILIA,1,C,160,3,0.09375,0.40625
EMILIA,1,C,192,0,0,0.40625
EMILIA,1,C,224,8,0.25,0.40625
EMILIA,1,C,255,0,0,0.40625
EMILIA,2,A,0,1,0.03125,0.78125
EMILIA,2,A,64,4,0.125,0.78125
EMILIA,2,A,96,2,0.0625,0.78125
EMILIA,2,A,128,1,0.03125,0.78125
EMILIA,2,A,160,1,0.03125,0.78125
EMILIA,2,A,192,2,0.0625,0.78125
EMILIA,2,A,224,8,0.25,0.78125
EMILIA,2,A,255,13,0.40625,0.78125
EMILIA,2,B,0,1,0.0277777777777778,0.75
EMILIA,2,B,64,6,0.166666666666667,0.75
EMILIA,2,B,96,2,0.0555555555555556,0.75
EMILIA,2,B,128,1,0.0277777777777778,0.75
EMILIA,2,B,160,2,0.0555555555555556,0.75
EMILIA,2,B,192,2,0.0555555555555556,0.75
EMILIA,2,B,224,9,0.25,0.75
EMILIA,2,B,255,13,0.361111111111111,0.75
EMILIA,2,C,0,1,0.03125,0.78125
EMILIA,2,C,64,4,0.125,0.78125
EMILIA,2,C,96,2,0.0625,0.78125
EMILIA,2,C,128,1,0.03125,0.78125
EMILIA,2,C,160,1,0.03125,0.78125
EMILIA,2,C,192,2,0.0625,0.78125
EMILIA,2,C,224,8,0.25,0.78125
EMILIA,2,C,255,13,0.40625,0.78125
GABI,1,A,0,0,0,0.46875
GABI,1,A,64,16,0.5,0.46875
GABI,1,A,96,1,0.03125,0.46875
GABI,1,A,128,1,0.03125,0.46875
GABI,1,A,160,6,0.1875,0.46875
GABI,1,A,192,0,0,0.46875
GABI,1,A,224,8,0.25,0.46875
GABI,1,A,255,0,0,0.46875
GABI,1,B,0,0,0,0.527777777777778
GABI,1,B,64,16,0.444444444444444,0.527777777777778
GABI,1,B,96,1,0.0277777777777778,0.527777777777778
GABI,1,B,128,1,0.0277777777777778,0.527777777777778
GABI,1,B,160,6,0.166666666666667,0.527777777777778
GABI,1,B,192,0,0,0.527777777777778
GABI,1,B,224,8,0.222222222222222,0.527777777777778
GABI,1,B,255,4,0.111111111111111,0.527777777777778
GABI,1,C,0,0,0,0.46875
GABI,1,C,64,16,0.5,0.46875
GABI,1,C,96,1,0.03125,0.46875
GABI,1,C,128,1,0.03125,0.46875
GABI,1,C,160,6,0.1875,0.46875
GABI,1,C,192,0,0,0.46875
GABI,1,C,224,8,0.25,0.46875
GABI,1,C,255,0,0,0.46875
GABI,2,A,0,2,0.0625,0.75
GABI,2,A,64,6,0.1875,0.75
GABI,2,A,96,0,0,0.75
GABI,2,A,128,1,0.03125,0.75
GABI,2,A,160,3,0.09375,0.75
GABI,2,A,192,1,0.03125,0.75
GABI,2,A,224,7,0.21875,0.75
GABI,2,A,255,12,0.375,0.75
GABI,2,B,0,2,0.05,0.7
GABI,2,B,64,10,0.25,0.7
GABI,2,B,96,0,0,0.7
GABI,2,B,128,1,0.025,0.7
GABI,2,B,160,5,0.125,0.7
GABI,2,B,192,1,0.025,0.7
GABI,2,B,224,9,0.225,0.7
GABI,2,B,255,12,0.3,0.7
GABI,2,C,0,2,0.0625,0.75
GABI,2,C,64,6,0.1875,0.75
GABI,2,C,96,0,0,0.75
GABI,2,C,128,1,0.03125,0.75
GABI,2,C,160,3,0.09375,0.75
GABI,2,C,192,1,0.03125,0.75
GABI,2,C,224,7,0.21875,0.75
GABI,2,C,255,12,0.375,0.75
GABRIEL,1,A,0,0,0,0.96875
GABRIEL,1,A,64,1,0.03125,0.96875
GABRIEL,1,A,96,0,0,0.96875
GABRIEL,1,A,128,1,0.03125,0.96875
GABRIEL,1,A,160,2,0.0625,0.96875
GABRIEL,1,A,192,1,0.03125,0.96875
GABRIEL,1,A,224,5,0.15625,0.96875
GABRIEL,1,A,255,22,0.6875,0.96875
GABRIEL,1,B,0,0,0,0.972222222222222
GABRIEL,1,B,64,1,0.0277777777777778,0.972222222222222
GABRIEL,1,B,96,0,0,0.972222222222222
GABRIEL,1,B,128,1,0.0277777777777778,0.972222222222222
GABRIEL,1,B,160,2,0.0555555555555556,0.972222222222222
GABRIEL,1,B,192,1,0.0277777777777778,0.972222222222222
GABRIEL,1,B,224,5,0.138888888888889,0.972222222222222
GABRIEL,1,B,255,26,0.722222222222222,0.972222222222222
GABRIEL,1,C,0,0,0,0.96875
GABRIEL,1,C,64,1,0.03125,0.96875
GABRIEL,1,C,96,0,0,0.96875
GABRIEL,1,C,128,1,0.03125,0.96875
GABRIEL,1,C,160,2,0.0625,0.96875
GABRIEL,1,C,192,1,0.03125,0.96875
GABRIEL,1,C,224,5,0.15625,0.96875
GABRIEL,1,C,255,22,0.6875,0.96875
GABRIEL,2,A,0,2,0.0625,0.8125
GABRIEL,2,A,64,3,0.09375,0.8125
GABRIEL,2,A,96,1,0.03125,0.8125
GABRIEL,2,A,128,3,0.09375,0.8125
GABRIEL,2,A,160,1,0.03125,0.8125
GABRIEL,2,A,192,2,0.0625,0.8125
GABRIEL,2,A,224,8,0.25,0.8125
GABRIEL,2,A,255,12,0.375,0.8125
GABRIEL,2,B,0,4,0.1,0.75
GABRIEL,2,B,64,5,0.125,0.75
GABRIEL,2,B,96,1,0.025,0.75
GABRIEL,2,B,128,3,0.075,0.75
GABRIEL,2,B,160,3,0.075,0.75
GABRIEL,2,B,192,2,0.05,0.75
GABRIEL,2,B,224,10,0.25,0.75
GABRIEL,2,B,255,12,0.3,0.75
GABRIEL,2,C,0,2,0.0625,0.8125
GABRIEL,2,C,64,3,0.09375,0.8125
GABRIEL,2,C,96,1,0.03125,0.8125
GABRIEL,2,C,128,3,0.09375,0.8125
GABRIEL,2,C,160,1,0.03125,0.8125
GABRIEL,2,C,192,2,0.0625,0.8125
GABRIEL,2,C,224,8,0.25,0.8125
GABRIEL,2,C,255,12,0.375,0.8125
IVANNA,1,A,0,1,0.03125,0.75
IVANNA,1,A,64,5,0.15625,0.75
IVANNA,1,A,96,2,0.0625,0.75
IVANNA,1,A,128,1,0.03125,0.75
IVANNA,1,A,160,0,0,0.75
IVANNA,1,A,192,0,0,0.75
IVANNA,1,A,224,6,0.1875,0.75
IVANNA,1,A,255,17,0.53125,0.75
IVANNA,1,B,0,1,0.0277777777777778,0.777777777777778
IVANNA,1,B,64,5,0.138888888888889,0.777777777777778
IVANNA,1,B,96,2,0.0555555555555556,0.777777777777778
IVANNA,1,B,128,1,0.0277777777777778,0.777777777777778
IVANNA,1,B,160,0,0,0.777777777777778
IVANNA,1,B,192,0,0,0.777777777777778
IVANNA,1,B,224,6,0.166666666666667,0.777777777777778
IVANNA,1,B,255,21,0.583333333333333,0.777777777777778
IVANNA,1,C,0,1,0.03125,0.75
IVANNA,1,C,64,5,0.15625,0.75
IVANNA,1,C,96,2,0.0625,0.75
IVANNA,1,C,128,1,0.03125,0.75
IVANNA,1,C,160,0,0,0.75
IVANNA,1,C,192,0,0,0.75
