speed_field,pwm,direction,motor,length_ms,n_rep,n_fit,n_val,stroke,floor_sd,floor_nrmse,floor_heldout_rmse,floor_heldout_nrmse
sp_3F,64,closing,1,1576,3,2,1,12966,1934.30165341948,0.149182604767814,2369.02602974977,0.182710630090219
sp_3F,64,closing,2,1576,3,2,1,3566.5,1288.9831716323,0.36141403943146,1578.67552876673,0.442639991242598
sp_3F,64,closing,3,1576,3,2,1,4668.5,503.890649647352,0.107934165073868,617.13748889777,0.132191815122153
sp_3F,64,closing,4,1576,3,2,1,6035.5,422.50240552885,0.0700028838586447,517.457654322069,0.0857356729884962
sp_3F,64,opening,1,808,3,2,1,13284,1872.58869470967,0.140965725286786,2293.44340007154,0.172647049086987
sp_3F,64,opening,2,808,3,2,1,3732,1525.98623340111,0.408892345498689,1868.94381317218,0.500788803100797
sp_3F,64,opening,3,808,3,2,1,5765.5,481.339012598714,0.0834860831842362,589.517487080966,0.102249152212465
sp_3F,64,opening,4,808,3,2,1,6104,624.44502488923,0.10230095427412,764.785841699077,0.125292569085694
sp_5F,96,closing,1,1045,4,2,2,17032,304.611076840569,0.0178846334453129,373.070854129557,0.0219041130888655
sp_5F,96,closing,2,1045,4,2,2,5061.5,1345.76615022837,0.265882870735625,1648.22019058459,0.32563868232433
sp_5F,96,closing,3,1045,4,2,2,4980.5,1789.51593010927,0.35930447346838,2191.70045767487,0.440056311148454
sp_5F,96,closing,4,1045,4,2,2,6062.5,85.7125914049905,0.0141381594070087,104.976056736945,0.0173156382246507
sp_5F,96,opening,1,644,4,2,2,16688.5,611.449520016126,0.0366389741448378,748.869663754598,0.0448733956769391
sp_5F,96,opening,2,644,4,2,2,5186.5,1017.91426013874,0.196262269379878,1246.68526962128,0.24037120787068
sp_5F,96,opening,3,644,4,2,2,6217,209.338256023075,0.0336719086413182,256.385955450321,0.0412394974184206
sp_5F,96,opening,4,644,4,2,2,6192,84.2577014192009,0.0136075099191216,103.19418768841,0.0166657279858543
sp_7F,128,closing,1,595,6,3,3,17130.6666666667,550.681570053547,0.03214595092934,635.872305416362,0.0371189468448219
sp_7F,128,closing,2,595,6,3,3,6047,892.00482563918,0.147511960581971,1029.99845240245,0.170332140301381
sp_7F,128,closing,3,595,6,3,3,7574,233.879545956475,0.0308792640555155,270.060837631836,0.0356563028296588
sp_7F,128,closing,4,595,6,3,3,6166,56.8046137708748,0.00921255494175719,65.5923181036546,0.0106377421510955
sp_7F,128,opening,1,523,6,3,3,17635.3333333333,675.203404426126,0.0382869658125426,779.657734606351,0.0442099800366509
sp_7F,128,opening,2,523,6,3,3,6313,627.20272134674,0.0993509775616569,724.231320012012,0.11472062727895
sp_7F,128,opening,3,523,6,3,3,8011.33333333333,240.324655599938,0.0299980846633857,277.503009207056,0.0346388045111579
sp_7F,128,opening,4,523,6,3,3,6443.66666666667,46.7458378770483,0.00725454004609926,53.9774441636168,0.00837682129692465
sp_9F,160,closing,1,569,5,3,2,17128,423.093830695212,0.0247018817547415,488.546674088702,0.0285232761611806
sp_9F,160,closing,2,569,5,3,2,6523.33333333333,167.280295102164,0.0256433768679862,193.158646814708,0.0296104210753258
sp_9F,160,closing,3,569,5,3,2,7645.33333333333,378.876593820534,0.0495565827285316,437.489006863867,0.0572230127568713
sp_9F,160,closing,4,569,5,3,2,6200,101.64812319484,0.0163948585798129,117.373142578322,0.0189311520287617
sp_9F,160,opening,1,451,5,3,2,17710.3333333333,679.02675777021,0.0383407101938723,784.072562771179,0.0442720387027072
