speed_field,pwm,direction,motor,v_inf_A_counts_per_s,v_inf_A_at_bound,v_inf_B_counts_per_s,v_inf_B_at_bound,tau_B_ms,fit_sse_A,fit_sse_B,n_fit_samples
sp_3F,64,closing,1,10661.833742632814,False,10686.720998163883,False,2.6643376872769697,16203685622.68838,16326523156.555878,3152
sp_3F,64,closing,2,2454.8405059127376,False,2455.0362251908705,False,0.1,4199820984.3736906,4200307590.7927837,3152
sp_3F,64,closing,3,4017.988922256241,False,4018.288854029181,False,0.1,8096069898.885662,8097801156.234481,3152
sp_3F,64,closing,4,10401.784239012723,False,10404.234346742694,False,0.1,1073703543.1457148,1074117394.6921139,3152
sp_3F,64,opening,1,-23022.34951452123,False,-23181.55074399209,False,2.6643376872769697,811296394.0577781,786339510.0877614,1616
sp_3F,64,opening,2,-10355.904051155609,False,-10362.417758335578,False,0.1,175567962.42759636,175448566.82730246,1616
sp_3F,64,opening,3,-19292.96495150935,False,-19301.443179105787,False,0.1,623908650.6523962,623815361.4187218,1616
sp_3F,64,opening,4,-14838.073825215492,False,-14843.11570837201,False,0.1,538035229.5515666,537977388.1957222,1616
sp_5F,96,closing,1,28037.25824808233,False,28237.80809837468,False,2.6643376872769697,692239318.433592,727081369.8477684,2090
sp_5F,96,closing,2,6854.429288023805,False,6855.307235703018,False,0.1,5497886189.373144,5499394161.039694,2090
sp_5F,96,closing,3,6364.640702614724,False,6365.37028617374,False,0.1,8131507270.980164,8133291614.770197,2090
sp_5F,96,closing,4,17420.97701149425,True,17420.97701149425,True,0.1,802959999.7215959,805099936.7354496,2090
sp_5F,96,opening,1,-36616.80844646998,False,-36945.82445286473,False,2.6643376872769697,232839748.1470235,206705684.17242563,1288
sp_5F,96,opening,2,-24198.28926905132,True,-24198.28926905132,True,0.1,137062333.3335407,137311117.87530074,1288
sp_5F,96,opening,3,-29006.220839813373,True,-29006.220839813373,True,0.1,180050513.76355463,180507849.30357814,1288
sp_5F,96,opening,4,-25022.660449491945,False,-25045.47653093636,False,0.1,172952645.04536045,172746341.31867692,1288
sp_7F,128,closing,1,40851.91563348573,False,41269.86660246545,False,2.6643376872769697,450543229.00183105,450629181.64321244,1785
sp_7F,128,closing,2,28648.627707467796,False,28666.845985811386,False,0.1,1482558644.5220704,1482756306.0632074,1785
sp_7F,128,closing,3,33927.76153122791,False,33977.16460083607,False,0.1,114193811.10035878,114014383.69939703,1785
sp_7F,128,closing,4,31141.41414141414,True,31141.41414141414,True,0.1,183801478.69688404,185247190.023903,1785
sp_7F,128,opening,1,-44072.65260545441,False,-44526.31901218823,False,2.6643376872769697,605414868.4202149,571962754.8659725,1569
sp_7F,128,opening,2,-32206.64452169656,False,-32230.404668664476,False,0.1,91063127.581633,90862424.63177288,1569
sp_7F,128,opening,3,-37556.68547176677,False,-37582.78768363484,False,0.1,120151868.33568653,119780279.25464958,1569
sp_7F,128,opening,4,-35873.70385118535,False,-35910.37777916261,False,0.1,104196610.8783435,103870486.2406714,1569
sp_9F,160,closing,1,44859.45852614384,False,45359.10354390679,False,2.6643376872769697,264781234.18154287,269184077.67568433,1707
sp_9F,160,closing,2,34454.22535211268,True,34454.22535211268,True,0.1,110564877.94041601,111201459.69035749,1707
sp_9F,160,closing,3,38639.450975969805,False,38668.87118142224,False,0.1,186228322.61364686,186105599.37680244,1707
sp_9F,160,closing,4,32746.478873239437,True,32746.478873239437,True,0.1,461867678.33216417,464534046.4949863,1707
sp_9F,160,opening,1,-49297.16101005336,False,-49863.54711558714,False,2.6643376872769697,443967111.97902143,415685957.37317955,1353
sp_9F,160,opening,2,-37971.763886432185,False,-38008.82655189452,False,0.1,89458644.56584914,89198787.12060753,1353
sp_9F,160,opening,3,-43387.1140472272,False,-43421.393034087516,False,0.1,138411547.81680807,138146642.49814808,1353
sp_9F,160,opening,4,-42495.49311407878,False,-42536.3774777164,False,0.1,77750654.14734831,77474136.32580173,1353
sp_BF,192,closing,1,47926.80751792119,False,48477.45076950322,False,2.6643376872769697,200321213.17749417,198522280.3987824,1240
sp_BF,192,closing,2,31606.623586429727,True,31606.623586429727,True,0.1,295846778.6245303,297693315.01424086,1240
sp_BF,192,closing,3,37398.22294022617,True,37398.22294022617,True,0.1,186775993.60064095,188206608.10652977,1240
sp_BF,192,closing,4,30184.168012924074,True,30184.168012924074,True,0.1,673795161.420774,676448770.4435456,1240
sp_BF,192,opening,1,-53811.447587720686,False,-54474.57228234824,False,2.6643376872769697,75355891.24043806,54302890.40838517,936
sp_BF,192,opening,2,-43674.82366771162,False,-43716.80323783237,False,0.1,14943517.605889503,14737243.03371738,936
sp_BF,192,opening,3,-46572.960858286424,False,-46612.24977454168,False,0.1,74067335.74647723,73880010.95945121,936
sp_BF,192,opening,4,-42610.278372591005,True,-42610.278372591005,True,0.1,59060677.56000407,59577122.04965238,936
sp_DF,224,closing,1,51284.2397394304,False,51928.57395597383,False,2.6643376872769697,329224822.08266306,323289020.10346097,1377
sp_DF,224,closing,2,43188.16539969055,False,43213.97379912664,True,0.1,34080726.15886946,34043347.216065556,1377
sp_DF,224,closing,3,43065.47634432594,False,43101.551425486396,False,0.1,62077325.395089105,62145753.36089605,1377
sp_DF,224,closing,4,41290.39301310043,True,41290.39301310043,True,0.1,118352281.85903643,119732019.79887038,1377
sp_DF,224,opening,1,-57075.83526192183,False,-57825.16953100798,False,2.6643376872769697,118091725.71301964,84328502.54631284,1368
sp_DF,224,opening,2,-46054.945054945056,True,-46054.945054945056,True,0.1,25268163.912075825,25588666.969638117,1368
sp_DF,224,opening,3,-49960.17112941578,False,-50006.33327584283,False,0.1,66379561.04148896,66065904.47846712,1368
sp_DF,224,opening,4,-44690.10989010989,True,-44690.10989010989,True,0.1,102860548.99545953,104071398.49561597,1368
sp_FF,255,closing,1,55111.24892274918,False,55839.83549124932,False,2.6643376872769697,265103497.0685583,258604294.99072105,1365
sp_FF,255,closing,2,44323.78854625551,True,44323.78854625551,True,0.1,100175871.54653034,101223894.89280425,1365
sp_FF,255,closing,3,48012.50295735498,False,48058.0023155628,False,0.1,122481468.68746448,122360389.27108324,1365
sp_FF,255,closing,4,41753.30396475771,True,41753.30396475771,True,0.1,223374773.51916617,225361971.51870307,1365
sp_FF,255,opening,1,-61073.1241616397,False,-61923.071256437725,False,2.6643376872769697,111553268.66914831,83325595.6549092,1272
sp_FF,255,opening,2,-50543.7352245863,True,-50543.7352245863,True,0.1,16481087.137393761,16484958.40212892,1272
sp_FF,255,opening,3,-53217.459774031246,False,-53270.018821135774,False,0.1,33919758.16692006,33614035.83413263,1272
sp_FF,255,opening,4,-48725.76832151301,True,-48725.76832151301,True,0.1,88126186.33958435,89387944.24584785,1272
