speed_field,pwm,direction,motor,repetition,role,length_ms
sp_3F,64,closing,1,1,FIT,1576
sp_3F,64,closing,1,2,VALIDATION,1576
sp_3F,64,closing,1,3,FIT,1576
sp_3F,64,closing,2,1,FIT,1576
sp_3F,64,closing,2,2,VALIDATION,1576
sp_3F,64,closing,2,3,FIT,1576
sp_3F,64,closing,3,1,FIT,1576
sp_3F,64,closing,3,2,VALIDATION,1576
sp_3F,64,closing,3,3,FIT,1576
sp_3F,64,closing,4,1,FIT,1576
sp_3F,64,closing,4,2,VALIDATION,1576
sp_3F,64,closing,4,3,FIT,1576
sp_3F,64,opening,1,1,FIT,808
sp_3F,64,opening,1,2,VALIDATION,808
sp_3F,64,opening,1,3,FIT,808
sp_3F,64,opening,2,1,FIT,808
sp_3F,64,opening,2,2,VALIDATION,808
sp_3F,64,opening,2,3,FIT,808
sp_3F,64,opening,3,1,FIT,808
sp_3F,64,opening,3,2,VALIDATION,808
sp_3F,64,opening,3,3,FIT,808
sp_3F,64,opening,4,1,FIT,808
sp_3F,64,opening,4,2,VALIDATION,808
sp_3F,64,opening,4,3,FIT,808
sp_5F,96,closing,1,1,FIT,1045
sp_5F,96,closing,1,2,VALIDATION,1045
sp_5F,96,closing,1,3,FIT,1045
sp_5F,96,closing,1,4,VALIDATION,1045
sp_5F,96,closing,2,1,FIT,1045
sp_5F,96,closing,2,2,VALIDATION,1045
sp_5F,96,closing,2,3,FIT,1045
sp_5F,96,closing,2,4,VALIDATION,1045
sp_5F,96,closing,3,1,FIT,1045
sp_5F,96,closing,3,2,VALIDATION,1045
sp_5F,96,closing,3,3,FIT,1045
sp_5F,96,closing,3,4,VALIDATION,1045
sp_5F,96,closing,4,1,FIT,1045
sp_5F,96,closing,4,2,VALIDATION,1045
sp_5F,96,closing,4,3,FIT,1045
sp_5F,96,closing,4,4,VALIDATION,1045
sp_5F,96,opening,1,1,FIT,644
sp_5F,96,opening,1,2,VALIDATION,644
sp_5F,96,opening,1,3,FIT,644
sp_5F,96,opening,1,4,VALIDATION,644
sp_5F,96,opening,2,1,FIT,644
sp_5F,96,opening,2,2,VALIDATION,644
sp_5F,96,opening,2,3,FIT,644
sp_5F,96,opening,2,4,VALIDATION,644
sp_5F,96,opening,3,1,FIT,644
sp_5F,96,opening,3,2,VALIDATION,644
sp_5F,96,opening,3,3,FIT,644
sp_5F,96,opening,3,4,VALIDATION,644
sp_5F,96,opening,4,1,FIT,644
sp_5F,96,opening,4,2,VALIDATION,644
sp_5F,96,opening,4,3,FIT,644
sp_5F,96,opening,4,4,VALIDATION,644
sp_7F,128,closing,1,1,FIT,595
sp_7F,128,closing,1,2,VALIDATION,595
sp_7F,128,closing,1,3,FIT,595
sp_7F,128,closing,1,4,VALIDATION,595
sp_7F,128,closing,1,5,FIT,595
sp_7F,128,closing,1,6,VALIDATION,595
sp_7F,128,closing,2,1,FIT,595
sp_7F,128,closing,2,2,VALIDATION,595
sp_7F,128,closing,2,3,FIT,595
sp_7F,128,closing,2,4,VALIDATION,595
sp_7F,128,closing,2,5,FIT,595
sp_7F,128,closing,2,6,VALIDATION,595
sp_7F,128,closing,3,1,FIT,595
sp_7F,128,closing,3,2,VALIDATION,595
sp_7F,128,closing,3,3,FIT,595
sp_7F,128,closing,3,4,VALIDATION,595
sp_7F,128,closing,3,5,FIT,595
sp_7F,128,closing,3,6,VALIDATION,595
sp_7F,128,closing,4,1,FIT,595
sp_7F,128,closing,4,2,VALIDATION,595
sp_7F,128,closing,4,3,FIT,595
sp_7F,128,closing,4,4,VALIDATION,595
sp_7F,128,closing,4,5,FIT,595
sp_7F,128,closing,4,6,VALIDATION,595
sp_7F,128,opening,1,1,FIT,523
sp_7F,128,opening,1,2,VALIDATION,523
sp_7F,128,opening,1,3,FIT,523
sp_7F,128,opening,1,4,VALIDATION,523
sp_7F,128,opening,1,5,FIT,523
sp_7F,128,opening,1,6,VALIDATION,523
sp_7F,128,opening,2,1,FIT,523
sp_7F,128,opening,2,2,VALIDATION,523
sp_7F,128,opening,2,3,FIT,523
sp_7F,128,opening,2,4,VALIDATION,523
sp_7F,128,opening,2,5,FIT,523
sp_7F,128,opening,2,6,VALIDATION,523
sp_7F,128,opening,3,1,FIT,523
sp_7F,128,opening,3,2,VALIDATION,523
sp_7F,128,opening,3,3,FIT,523
sp_7F,128,opening,3,4,VALIDATION,523
sp_7F,128,opening,3,5,FIT,523
sp_7F,128,opening,3,6,VALIDATION,523
sp_7F,128,opening,4,1,FIT,523
sp_7F,128,opening,4,2,VALIDATION,523
sp_7F,128,opening,4,3,FIT,523
sp_7F,128,opening,4,4,VALIDATION,523
sp_7F,128,opening,4,5,FIT,523
sp_7F,128,opening,4,6,VALIDATION,523
sp_9F,160,closing,1,1,FIT,569
sp_9F,160,closing,1,2,VALIDATION,569
sp_9F,160,closing,1,3,FIT,569
sp_9F,160,closing,1,4,VALIDATION,569
sp_9F,160,closing,1,5,FIT,569
sp_9F,160,closing,2,1,FIT,569
sp_9F,160,closing,2,2,VALIDATION,569
sp_9F,160,closing,2,3,FIT,569
sp_9F,160,closing,2,4,VALIDATION,569
sp_9F,160,closing,2,5,FIT,569
sp_9F,160,closing,3,1,FIT,569
sp_9F,160,closing,3,2,VALIDATION,569
sp_9F,160,closing,3,3,FIT,569
sp_9F,160,closing,3,4,VALIDATION,569
sp_9F,160,closing,3,5,FIT,569
sp_9F,160,closing,4,1,FIT,569
sp_9F,160,closing,4,2,VALIDATION,569
sp_9F,160,closing,4,3,FIT,569
sp_9F,160,closing,4,4,VALIDATION,569
sp_9F,160,closing,4,5,FIT,569
sp_9F,160,opening,1,1,FIT,451
sp_9F,160,opening,1,2,VALIDATION,451
sp_9F,160,opening,1,3,FIT,451
sp_9F,160,opening,1,4,VALIDATION,451
sp_9F,160,opening,1,5,FIT,451
sp_9F,160,opening,2,1,FIT,451
sp_9F,160,opening,2,2,VALIDATION,451
sp_9F,160,opening,2,3,FIT,451
sp_9F,160,opening,2,4,VALIDATION,451
sp_9F,160,opening,2,5,FIT,451
sp_9F,160,opening,3,1,FIT,451
sp_9F,160,opening,3,2,VALIDATION,451
sp_9F,160,opening,3,3,FIT,451
sp_9F,160,opening,3,4,VALIDATION,451
sp_9F,160,opening,3,5,FIT,451
sp_9F,160,opening,4,1,FIT,451
sp_9F,160,opening,4,2,VALIDATION,451
sp_9F,160,opening,4,3,FIT,451
sp_9F,160,opening,4,4,VALIDATION,451
sp_9F,160,opening,4,5,FIT,451
sp_BF,192,closing,1,1,FIT,620
sp_BF,192,closing,1,2,VALIDATION,620
sp_BF,192,closing,1,3,FIT,620
sp_BF,192,closing,2,1,FIT,620
sp_BF,192,closing,2,2,VALIDATION,620
sp_BF,192,closing,2,3,FIT,620
sp_BF,192,closing,3,1,FIT,620
sp_BF,192,closing,3,2,VALIDATION,620
sp_BF,192,closing,3,3,FIT,620
sp_BF,192,closing,4,1,FIT,620
sp_BF,192,closing,4,2,VALIDATION,620
sp_BF,192,closing,4,3,FIT,620
sp_BF,192,opening,1,1,FIT,468
sp_BF,192,opening,1,2,VALIDATION,468
sp_BF,192,opening,1,3,FIT,468
sp_BF,192,opening,1,4,VALIDATION,468
sp_BF,192,opening,2,1,FIT,468
sp_BF,192,opening,2,2,VALIDATION,468
sp_BF,192,opening,2,3,FIT,468
sp_BF,192,opening,2,4,VALIDATION,468
sp_BF,192,opening,3,1,FIT,468
sp_BF,192,opening,3,2,VALIDATION,468
sp_BF,192,opening,3,3,FIT,468
sp_BF,192,opening,3,4,VALIDATION,468
sp_BF,192,opening,4,1,FIT,468
sp_BF,192,opening,4,2,VALIDATION,468
sp_BF,192,opening,4,3,FIT,468
sp_BF,192,opening,4,4,VALIDATION,468
sp_DF,224,closing,1,1,FIT,459
sp_DF,224,closing,1,2,VALIDATION,459
sp_DF,224,closing,1,3,FIT,459
sp_DF,224,closing,1,4,VALIDATION,459
sp_DF,224,closing,1,5,FIT,459
sp_DF,224,closing,1,6,VALIDATION,459
sp_DF,224,closing,2,1,FIT,459
sp_DF,224,closing,2,2,VALIDATION,459
sp_DF,224,closing,2,3,FIT,459
sp_DF,224,closing,2,4,VALIDATION,459
sp_DF,224,closing,2,5,FIT,459
sp_DF,224,closing,2,6,VALIDATION,459
sp_DF,224,closing,3,1,FIT,459
sp_DF,224,closing,3,2,VALIDATION,459
sp_DF,224,closing,3,3,FIT,459
sp_DF,224,closing,3,4,VALIDATION,459
sp_DF,224,closing,3,5,FIT,459
sp_DF,224,closing,3,6,VALIDATION,459
sp_DF,224,closing,4,1,FIT,459
sp_DF,224,closing,4,2,VALIDATION,459
sp_DF,224,closing,4,3,FIT,459
sp_DF,224,closing,4,4,VALIDATION,459
sp_DF,224,closing,4,5,FIT,459
sp_DF,224,closing,4,6,VALIDATION,459
sp_DF,224,opening,1,1,FIT,456
sp_DF,224,opening,1,2,VALIDATION,456
sp_DF,224,opening,1,3,FIT,456
sp_DF,224,opening,1,4,VALIDATION,456
sp_DF,224,opening,1,5,FIT,456
sp_DF,224,opening,1,6,VALIDATION,456
sp_DF,224,opening,2,1,FIT,456
sp_DF,224,opening,2,2,VALIDATION,456
sp_DF,224,opening,2,3,FIT,456
sp_DF,224,opening,2,4,VALIDATION,456
sp_DF,224,opening,2,5,FIT,456
sp_DF,224,opening,2,6,VALIDATION,456
sp_DF,224,opening,3,1,FIT,456
sp_DF,224,opening,3,2,VALIDATION,456
sp_DF,224,opening,3,3,FIT,456
sp_DF,224,opening,3,4,VALIDATION,456
sp_DF,224,opening,3,5,FIT,456
sp_DF,224,opening,3,6,VALIDATION,456
sp_DF,224,opening,4,1,FIT,456
sp_DF,224,opening,4,2,VALIDATION,456
sp_DF,224,opening,4,3,FIT,456
sp_DF,224,opening,4,4,VALIDATION,456
sp_DF,224,opening,4,5,FIT,456
sp_DF,224,opening,4,6,VALIDATION,456
sp_FF,255,closing,1,1,FIT,455
sp_FF,255,closing,1,2,VALIDATION,455
sp_FF,255,closing,1,3,FIT,455
sp_FF,255,closing,1,4,VALIDATION,455
sp_FF,255,closing,1,5,FIT,455
sp_FF,255,closing,1,6,VALIDATION,455
sp_FF,255,closing,2,1,FIT,455
sp_FF,255,closing,2,2,VALIDATION,455
sp_FF,255,closing,2,3,FIT,455
sp_FF,255,closing,2,4,VALIDATION,455
sp_FF,255,closing,2,5,FIT,455
sp_FF,255,closing,2,6,VALIDATION,455
sp_FF,255,closing,3,1,FIT,455
sp_FF,255,closing,3,2,VALIDATION,455
sp_FF,255,closing,3,3,FIT,455
sp_FF,255,closing,3,4,VALIDATION,455
sp_FF,255,closing,3,5,FIT,455
sp_FF,255,closing,3,6,VALIDATION,455
sp_FF,255,closing,4,1,FIT,455
sp_FF,255,closing,4,2,VALIDATION,455
sp_FF,255,closing,4,3,FIT,455
sp_FF,255,closing,4,4,VALIDATION,455
sp_FF,255,closing,4,5,FIT,455
sp_FF,255,closing,4,6,VALIDATION,455
sp_FF,255,opening,1,1,FIT,424
sp_FF,255,opening,1,2,VALIDATION,424
sp_FF,255,opening,1,3,FIT,424
sp_FF,255,opening,1,4,VALIDATION,424
sp_FF,255,opening,1,5,FIT,424
sp_FF,255,opening,1,6,VALIDATION,424
sp_FF,255,opening,2,1,FIT,424
sp_FF,255,opening,2,2,VALIDATION,424
sp_FF,255,opening,2,3,FIT,424
sp_FF,255,opening,2,4,VALIDATION,424
sp_FF,255,opening,2,5,FIT,424
sp_FF,255,opening,2,6,VALIDATION,424
sp_FF,255,opening,3,1,FIT,424
sp_FF,255,opening,3,2,VALIDATION,424
sp_FF,255,opening,3,3,FIT,424
sp_FF,255,opening,3,4,VALIDATION,424
sp_FF,255,opening,3,5,FIT,424
sp_FF,255,opening,3,6,VALIDATION,424
sp_FF,255,opening,4,1,FIT,424
sp_FF,255,opening,4,2,VALIDATION,424
sp_FF,255,opening,4,3,FIT,424
sp_FF,255,opening,4,4,VALIDATION,424
sp_FF,255,opening,4,5,FIT,424
sp_FF,255,opening,4,6,VALIDATION,424
