speed_field,speed_value,direction,motor,min_lim,max_lim
sp_3F,64,closing,1,0.0,17016.0
sp_3F,64,closing,2,0.0,5265.0
sp_3F,64,closing,3,0.0,4677.0
sp_3F,64,closing,4,0.0,6050.0
sp_3F,64,opening,1,-194.0,17016.0
sp_3F,64,opening,2,-24.0,5550.0
sp_3F,64,opening,3,-112.0,6664.0
sp_3F,64,opening,4,-90.0,6050.0
sp_5F,96,closing,1,0.0,17046.0
sp_5F,96,closing,2,0.0,6505.0
sp_5F,96,closing,3,0.0,6077.0
sp_5F,96,closing,4,0.0,6095.0
sp_5F,96,opening,1,-368.0,17046.0
sp_5F,96,opening,2,-178.0,6505.0
sp_5F,96,opening,3,-308.0,6249.0
sp_5F,96,opening,4,-177.0,6095.0
sp_7F,128,closing,1,0.0,17172.0
sp_7F,128,closing,2,0.0,6638.0
sp_7F,128,closing,3,0.0,7838.0
sp_7F,128,closing,4,0.0,6184.0
sp_7F,128,opening,1,-557.0,17172.0
sp_7F,128,opening,2,-278.0,6638.0
sp_7F,128,opening,3,-532.0,7838.0
sp_7F,128,opening,4,-452.0,6184.0
sp_9F,160,closing,1,0.0,17201.0
sp_9F,160,closing,2,0.0,6658.0
sp_9F,160,closing,3,0.0,7903.0
sp_9F,160,closing,4,0.0,6307.0
sp_9F,160,opening,1,-688.0,17200.0
sp_9F,160,opening,2,-420.0,6658.0
sp_9F,160,opening,3,-539.0,7903.0
sp_9F,160,opening,4,-514.0,6307.0
sp_BF,192,closing,1,0.0,17288.0
sp_BF,192,closing,2,0.0,6525.0
sp_BF,192,closing,3,0.0,7912.0
sp_BF,192,closing,4,0.0,6249.0
sp_BF,192,opening,1,-707.0,17288.0
sp_BF,192,opening,2,-427.0,6524.0
sp_BF,192,opening,3,-562.0,7912.0
sp_BF,192,opening,4,-552.0,6249.0
sp_DF,224,closing,1,0.0,17282.0
sp_DF,224,closing,2,0.0,6740.0
sp_DF,224,closing,3,0.0,7748.0
sp_DF,224,closing,4,0.0,6406.0
sp_DF,224,opening,1,-788.0,17281.0
sp_DF,224,opening,2,-438.0,6740.0
sp_DF,224,opening,3,-745.0,7748.0
sp_DF,224,opening,4,-567.0,6406.0
sp_FF,256,closing,1,0.0,17375.0
sp_FF,256,closing,2,0.0,6821.0
sp_FF,256,closing,3,0.0,7795.0
sp_FF,256,closing,4,0.0,6502.0
sp_FF,256,opening,1,-871.0,17375.0
sp_FF,256,opening,2,-477.0,6821.0
sp_FF,256,opening,3,-910.0,7795.0
sp_FF,256,opening,4,-671.0,6502.0
